  PLAYER TEAM AGE GP W L MIN OFFRTG DEFRTG NETRTG AST% AST/TO AST RATIO OREB% DREB% REB% TO RATIO EFG% TS% USG% PACE PIE POSS
69 Ausar Thompson DET 21 63 10 53 25.1 107.7 113.1 -5.3 10.8 1.43 16.3 7.7 17.3 12.4 11.4 50.5 52.2 16.1 101.67 8.4 3329
69 Bilal Coulibaly WAS 19 63 11 52 27.2 107.4 118.4 -11.0 8.6 1.26 16.1 3.1 11.6 7.2 12.7 50.9 54.3 13.9 103.33 5.7 3687
69 Cameron Payne PHI 29 63 36 27 16.3 113.2 114.2 -1.0 21.7 3.27 26.4 1.2 7.0 4.1 8.1 54.5 57.6 18.2 100.58 8.3 2158
69 D'Angelo Russell LAL 28 63 36 27 32.1 116.0 115.0 1.1 26.9 3.24 27.1 1.3 7.5 4.5 8.4 56.7 59.2 22.3 102.68 10.4 4339
69 Damian Lillard MIL 33 63 44 19 35.1 120.4 112.4 8.0 28.4 2.76 23.5 1.5 10.2 6.0 8.5 51.2 59.4 27.3 102.79 13.4 4733
69 Deni Avdija WAS 23 63 11 52 29.1 109.8 117.4 -7.6 17.2 1.80 21.3 3.9 18.9 11.4 11.8 56.7 60.0 19.2 105.36 10.6 4012
69 Derrick Jones Jr. DAL 27 63 36 27 23.6 114.5 115.2 -0.6 5.3 1.09 10.4 4.7 9.2 7.0 9.5 57.8 60.1 14.6 102.03 7.0 3168
69 Isaiah Joe OKC 24 63 44 19 18.4 117.8 108.2 9.6 8.0 1.84 13.6 2.2 9.8 6.1 7.4 60.8 62.3 15.7 103.71 8.7 2533
69 Jaden Ivey DET 22 63 12 51 28.6 112.3 118.6 -6.3 18.7 1.51 18.6 4.2 7.9 6.1 12.3 49.7 54.5 23.8 101.93 7.5 3826
69 Jeff Green HOU 37 63 30 33 16.3 107.6 112.1 -4.4 7.7 1.26 12.9 3.2 9.0 6.1 10.3 51.5 58.4 14.7 100.98 6.8 2166
69 Keldon Johnson SAS 24 63 15 48 29.6 108.7 116.8 -8.1 14.3 1.95 15.5 4.4 13.6 8.8 8.0 53.0 56.5 21.5 103.71 9.9 4030
69 Kevin Huerter SAC 25 63 36 27 24.8 117.6 115.1 2.5 13.7 3.17 20.7 2.4 12.4 7.3 6.5 55.3 56.4 17.3 101.05 7.7 3282
69 Klay Thompson GSW 34 63 32 31 29.6 115.1 117.5 -2.5 10.5 1.46 11.5 1.5 9.7 5.6 7.9 53.8 56.5 23.0 102.01 8.5 3970
69 Malaki Branham SAS 20 63 13 50 20.5 106.6 119.3 -12.8 15.2 1.83 18.5 1.7 7.8 4.6 10.1 49.6 52.0 19.2 103.53 6.3 2791
69 Matisse Thybulle POR 27 63 18 45 23.4 108.0 115.2 -7.2 8.2 2.20 19.3 2.0 7.4 4.6 8.8 52.9 54.2 10.5 99.44 6.1 3055
69 Nikola Vucevic CHI 33 63 31 32 34.5 112.5 115.2 -2.8 15.3 2.05 15.1 8.2 22.9 15.5 7.4 51.5 53.4 23.6 97.61 12.5 4414
69 Patrick Beverley MIL 35 63 38 25 19.6 109.9 112.3 -2.4 21.0 2.95 30.2 3.1 12.0 7.6 10.2 49.1 53.0 14.3 98.79 8.2 2535
69 Rudy Gobert MIN 31 63 44 19 33.9 115.0 106.2 8.8 5.2 0.81 9.5 11.7 25.5 19.1 11.7 64.8 66.7 15.2 97.01 13.5 4318
69 Saddiq Bey ATL 24 63 28 35 32.7 118.6 119.1 -0.5 5.8 1.70 9.9 7.5 11.9 9.6 5.8 49.7 54.9 16.3 102.06 7.9 4384
69 Tre Jones SAS 24 63 14 49 26.8 111.4 113.2 -1.7 30.1 4.17 39.0 2.5 9.8 6.2 9.3 55.6 59.5 14.7 102.90 10.9 3626
90 Aaron Gordon DEN 28 62 42 20 31.4 119.3 111.0 8.3 13.7 2.32 20.6 7.4 13.1 10.3 8.9 58.8 60.8 17.3 98.27 10.2 3992
90 Derrick White BOS 29 62 50 12 32.3 122.9 109.2 13.7 20.1 3.15 26.5 2.2 9.7 6.2 8.4 58.1 61.4 18.3 100.38 10.6 4189
90 Devin Vassell SAS 23 62 14 48 32.8 109.1 114.9 -5.7 18.7 2.55 18.2 1.3 10.1 5.7 7.1 55.2 58.0 22.8 102.46 11.1 4337
90 Drew Eubanks PHX 27 62 33 29 15.6 107.8 112.4 -4.6 7.9 0.94 14.4 8.9 17.3 13.3 15.3 63.4 66.7 13.3 99.94 10.5 2002
90 Duncan Robinson MIA 29 62 35 27 28.6 112.3 110.6 1.7 15.8 2.10 19.7 0.7 8.3 4.5 9.4 60.0 62.4 18.7 98.04 8.8 3626
90 Grayson Allen PHX 28 62 36 26 33.8 119.3 115.4 3.9 11.8 2.37 22.1 1.9 9.0 5.7 9.3 66.2 69.3 13.8 100.18 8.5 4365
90 Immanuel Quickley TOR 24 62 26 36 28.9 113.4 114.3 -0.9 23.3 3.36 22.7 0.8 11.6 6.2 6.7 52.7 56.9 22.9 100.14 11.4 3743
90 Jabari Smith Jr. HOU 20 62 31 31 32.0 111.8 112.8 -1.0 6.7 1.22 10.3 5.7 19.6 12.5 8.4 53.4 56.9 17.2 99.89 10.0 4135
90 Jalen Brunson NYK 27 62 39 23 35.2 120.0 113.0 7.0 30.2 2.54 20.4 1.6 8.7 5.1 8.0 54.4 59.3 30.0 97.09 15.0 4425
90 Jarrett Allen CLE 25 62 40 22 31.6 115.9 109.5 6.4 12.3 1.60 16.0 10.7 22.5 16.7 10.0 62.5 65.7 18.9 99.09 14.7 4035
90 John Collins UTA 26 62 27 35 28.3 114.7 121.5 -6.8 6.1 0.80 8.1 7.8 22.2 14.8 10.0 58.1 60.9 19.4 101.48 10.7 3707
