IND, VS_PLAYER, TEAM, GP, W, L, MIN, OPP_FGM, OPP_FGA, OPP_FG%, OPP_3PM, OPP_3PA, OPP_3P%, OPP_FTM, OPP_FTA, OPP_FT%, OPP_OREB, OPP_DREB, OPP_REB, OPP_AST, OPP_TOV, OPP_STL, OPP_BLK, OPP_BLKA, OPP_PF, OPP_PFD, OPP_PTS, plus_minus
398, Collin Gillespie, DEN, 24, 15, 9, 48.0, 40.6, 87.9, 46.2, 10.2, 30.0, 34.0, 17.0, 22.3, 76.2, 11.7, 34.0, 45.7, 23.0, 13.8, 7.2, 4.0, 3.2, 16.4, 18.3, 108.5, -3.2
398, Mike Muscala, WAS, 24, 4, 20, 46.8, 45.3, 90.9, 49.8, 13.4, 35.9, 37.5, 16.2, 20.6, 78.5, 12.2, 37.1, 49.3, 30.3, 12.5, 8.4, 4.8, 3.7, 19.4, 17.9, 120.2, 18.6
398, Cameron Payne, PHI, 24, 9, 15, 49.1, 40.1, 82.2, 48.8, 11.9, 32.4, 36.8, 20.4, 24.6, 82.8, 9.0, 35.5, 44.5, 26.2, 15.5, 6.4, 7.4, 6.2, 17.1, 20.5, 112.6, 1.2
398, Jalen Pickett, DEN, 24, 17, 7, 48.1, 36.4, 82.6, 44.0, 10.3, 32.2, 32.1, 21.9, 28.9, 75.7, 12.8, 32.6, 45.5, 21.5, 12.4, 8.3, 2.5, 5.0, 12.4, 22.3, 105.0, 2.1
398, Derrick Rose, MEM, 24, 6, 18, 47.3, 39.8, 87.3, 45.6, 12.9, 36.0, 35.9, 15.3, 20.1, 75.9, 10.1, 36.1, 46.2, 26.5, 15.3, 7.2, 6.5, 5.6, 19.0, 18.6, 107.8, 3.9
398, Matt Ryan, NOP, 24, 13, 11, 46.4, 39.6, 88.6, 44.6, 10.8, 37.2, 28.9, 17.1, 21.9, 78.0, 12.9, 34.4, 47.2, 24.1, 14.2, 6.9, 4.9, 4.7, 21.3, 19.2, 106.9, -2.5
398, Dennis Schroder, BKN, 24, 9, 15, 49.8, 43.6, 89.2, 48.9, 13.1, 34.4, 38.1, 14.9, 19.1, 77.9, 10.7, 35.6, 46.3, 26.3, 13.9, 7.5, 4.8, 4.0, 18.0, 17.5, 115.2, 7.3
398, Stanley Umude, DET, 24, 4, 20, 46.6, 40.7, 87.4, 46.5, 12.6, 34.6, 36.4, 21.5, 28.4, 75.9, 9.0, 31.6, 40.5, 25.9, 10.5, 9.6, 5.3, 4.4, 17.6, 23.2, 115.5, 11.4
407, Marvin Bagley III, WAS, 23, 4, 19, 46.1, 43.8, 88.7, 49.4, 10.8, 30.3, 35.5, 14.8, 18.5, 80.2, 9.5, 34.8, 44.3, 27.7, 12.0, 7.0, 7.5, 4.1, 17.0, 16.2, 113.2, 5.5
407, Dalano Banton, POR, 23, 4, 19, 49.0, 43.8, 88.5, 49.5, 13.0, 33.2, 39.3, 19.9, 24.0, 82.8, 11.1, 32.2, 43.3, 27.0, 13.1, 10.1, 7.1, 4.7, 17.2, 20.3, 120.4, 16.3
407, Richaun Holmes, DAL, 23, 9, 14, 46.7, 41.2, 83.0, 49.6, 11.4, 31.6, 36.3, 17.4, 25.6, 67.7, 10.1, 36.3, 46.4, 23.1, 13.6, 6.3, 4.9, 2.4, 21.1, 20.3, 111.2, 6.7
407, Colby Jones, SAC, 23, 12, 11, 48.7, 38.5, 81.8, 47.1, 12.5, 35.8, 34.9, 19.6, 26.7, 73.4, 10.1, 33.4, 43.6, 24.7, 13.9, 6.4, 4.4, 5.4, 15.5, 20.6, 109.1, 3.7
407, Isaiah Livers, DET, 23, 1, 22, 46.4, 45.5, 87.3, 52.1, 12.6, 30.6, 41.1, 22.3, 27.2, 81.8, 10.4, 33.4, 43.8, 26.1, 12.5, 7.7, 5.3, 3.7, 18.9, 21.1, 125.8, 19.7
407, Vasilije Micic, CHA, 23, 8, 15, 49.0, 43.4, 89.2, 48.7, 14.1, 39.5, 35.8, 16.4, 19.5, 83.9, 11.8, 34.1, 45.9, 30.3, 13.4, 7.7, 4.7, 3.9, 15.8, 17.3, 117.4, 10.1
407, Mitchell Robinson, NYK, 23, 13, 10, 49.5, 43.1, 87.7, 49.1, 14.4, 36.4, 39.6, 13.4, 17.9, 75.1, 9.8, 30.8, 40.6, 26.7, 14.3, 7.4, 5.6, 3.2, 21.9, 16.1, 114.0, -2.8
407, Grant Williams, CHA, 23, 8, 15, 48.6, 41.2, 86.5, 47.6, 12.6, 38.5, 32.8, 15.7, 19.3, 81.0, 10.3, 35.4, 45.8, 28.1, 14.7, 6.9, 4.3, 3.8, 18.2, 16.8, 110.7, 6.4
407, Thaddeus Young, TOR, 23, 6, 17, 49.3, 46.1, 91.4, 50.4, 13.5, 37.6, 36.0, 16.9, 20.4, 82.8, 12.7, 31.8, 44.5, 29.9, 13.7, 6.1, 5.9, 3.9, 18.5, 17.6, 122.5, 4.1
416, LaMelo Ball, CHA, 22, 7, 15, 46.7, 43.6, 85.8, 50.8, 14.8, 35.8, 41.3, 19.1, 24.2, 78.8, 8.7, 33.4, 42.1, 28.2, 13.5, 6.4, 4.5, 3.9, 19.7, 21.2, 121.0, 9.1
416, Leaky Black, CHA, 22, 1, 21, 48.4, 41.6, 87.8, 47.3, 11.8, 36.4, 32.3, 18.7, 23.6, 79.2, 10.4, 36.0, 46.4, 27.6, 10.4, 7.8, 4.9, 5.8, 16.7, 16.7, 113.6, 8.7
416, Jamal Cain, MIA, 22, 11, 11, 48.3, 40.6, 83.8, 48.4, 11.8, 34.7, 34.1, 17.1, 23.2, 73.8, 9.0, 31.4, 40.4, 27.4, 15.4, 8.2, 4.2, 2.5, 19.6, 18.3, 110.1, 3.0
416, Tari Eason, HOU, 22, 12, 10, 47.5, 35.3, 83.9, 42.1, 8.6, 32.8, 26.2, 24.6, 32.0, 76.9, 10.1, 30.7, 40.8, 19.5, 14.3, 6.6, 5.8, 5.6, 22.0, 23.9, 103.9, -8.7
416, Evan Fournier, DET, 22, 5, 17, 47.0, 39.5, 84.6, 46.8, 11.0, 34.9, 31.6, 17.1, 23.3, 73.5, 10.9, 36.3, 47.3, 25.5, 15.8, 10.1, 4.8, 3.9, 13.9, 20.4, 107.2, 10.1
416, Daniel Gafford, DAL, 22, 16, 6, 46.5, 38.9, 88.2, 44.1, 12.0, 35.0, 34.2, 16.7, 21.6, 77.2, 10.5, 31.9, 42.3, 26.1, 13.3, 8.4, 4.0, 6.6, 17.5, 18.8, 106.4, -9.3
416, Markieff Morris, DAL, 22, 13, 9, 45.7, 43.5, 88.1, 49.4, 12.9, 34.8, 37.1, 14.2, 19.5, 73.0, 11.9, 33.2, 45.1, 23.7, 13.5, 7.1, 3.2, 2.9, 21.6, 16.4, 114.2, 10.8
416, Royce O'Neale, PHX, 22, 12, 10, 47.2, 40.2, 90.0, 44.6, 12.5, 36.9, 33.9, 14.8, 19.9, 74.5, 10.5, 31.0, 41.5, 24.2, 11.9, 9.2, 3.8, 6.4, 18.1, 17.2, 107.7, -6.7
416, Kelly Olynyk, TOR, 22, 4, 18, 47.2, 46.8, 90.7, 51.6, 13.6, 37.0, 36.9, 15.9, 19.8, 80.2, 12.9, 34.6, 47.4, 30.0, 14.1, 7.2, 5.2, 3.5, 17.7, 18.1, 123.1, 15.9
416, P.J. Tucker, LAC, 22, 8, 14, 49.1, 43.4, 89.2, 48.6, 14.2, 34.1, 41.5, 16.0, 21.0, 76.1, 10.8, 32.7, 43.5, 26.8, 13.4, 7.9, 5.3, 5.2, 20.9, 20.5, 116.9, 8.8
416, P.J. Washington, DAL, 22, 16, 6, 47.3, 40.3, 88.3, 45.6, 12.4, 34.7, 35.7, 16.2, 20.3, 80.1, 9.4, 33.3, 42.7, 26.3, 13.1, 7.0, 4.9, 6.7, 17.7, 17.4, 109.2, -8.1
427, Ochai Agbaji, TOR, 21, 4, 17, 47.5, 45.9, 90.2, 50.9, 12.2, 35.1, 34.8, 16.6, 21.1, 78.7, 11.8, 34.2, 46.0, 28.1, 13.8, 6.8, 5.0, 4.0, 17.0, 17.8, 120.6, 13.4
427, Ibou Badji, POR, 21, 5, 16, 48.3, 40.4, 83.9, 48.1, 13.5, 35.2, 38.2, 22.2, 31.2, 71.2, 9.6, 34.1, 43.7, 26.2, 14.1, 9.9, 5.8, 7.2, 18.6, 23.3, 116.4, 21.1
427, Davis Bertans, CHA, 21, 7, 14, 48.7, 41.6, 84.6, 49.2, 13.4, 37.4, 35.9, 15.0, 19.3, 78.0, 8.7, 36.1, 44.8, 29.6, 14.4, 7.9, 5.0, 3.7, 20.0, 17.1, 111.7, 7.9
427, Patrick Beverley, MIL, 21, 14, 7, 50.0, 42.8, 91.0, 47.1, 16.8, 41.0, 41.1, 13.6, 18.1, 75.3, 11.0, 34.8, 45.7, 26.7, 13.6, 6.6, 3.7, 4.9, 19.9, 19.6, 116.1, 6.1
427, Bojan Bogdanovic, NYK, 21, 11, 10, 50.5, 42.4, 88.4, 48.0, 12.3, 32.9, 37.5, 16.3, 21.9, 74.6, 10.4, 33.6, 44.0, 27.4, 13.0, 8.0, 5.0, 4.2, 18.2, 18.8, 113.4, 8.7
427, Spencer Dinwiddie, LAL, 21, 14, 7, 46.7, 44.7, 94.8, 47.1, 12.4, 35.7, 34.8, 13.2, 16.3, 81.2, 11.5, 30.5, 42.1, 28.4, 10.8, 6.7, 4.1, 5.5, 18.8, 15.0, 115.0, -5.9
427, Jalen Hood-Schifino, LAL, 21, 10, 11, 46.4, 39.1, 85.5, 45.8, 14.0, 38.3, 36.7, 19.6, 26.0, 75.4, 9.4, 34.5, 43.8, 25.1, 9.8, 7.2, 5.1, 4.7, 18.7, 18.7, 111.9, 23.0
427, Saben Lee, PHX, 21, 12, 9, 47.1, 38.5, 89.4, 43.0, 13.0, 36.9, 35.3, 11.7, 16.4, 71.0, 10.9, 30.0, 40.8, 22.5, 13.0, 7.2, 5.3, 8.5, 22.5, 15.9, 101.6, -4.2
427, Skylar Mays, POR, 21, 6, 15, 48.5, 43.2, 83.7, 51.6, 11.0, 31.1, 35.5, 18.8, 24.7, 76.2, 9.7, 35.3, 45.0, 27.7, 13.9, 7.8, 5.6, 5.0, 15.1, 19.6, 116.2, 12.8
427, Admiral Schofield, ORL, 21, 14, 7, 48.1, 39.0, 90.9, 43.0, 9.1, 39.6, 23.1, 13.4, 18.3, 73.3, 11.0, 37.2, 48.2, 21.3, 13.4, 10.4, 4.3, 4.9, 14.6, 15.9, 100.6, 11.0
427, Garrett Temple, TOR, 21, 4, 17, 47.0, 40.8, 86.8, 46.9, 11.9, 36.7, 32.5, 14.7, 17.6, 83.9, 15.4, 30.7, 46.1, 22.3, 17.6, 10.0, 7.2, 3.1, 16.0, 16.3, 108.2, 5.6
438, Ryan Arcidiacono, NYK, 20, 15, 5, 47.5, 32.6, 91.6, 35.6, 5.3, 38.9, 13.5, 9.5, 14.7, 64.3, 18.9, 32.6, 51.6, 18.9, 15.8, 8.4, 4.2, 3.2, 9.5, 14.7, 80.0, -2.1
438, Luka Garza, MIN, 20, 15, 5, 44.1, 39.1, 76.0, 51.5, 9.3, 24.4, 38.2, 21.8, 28.0, 77.8, 6.7, 34.2, 40.9, 26.7, 13.3, 6.2, 3.1, 1.8, 16.0, 19.6, 109.3, 9.8
438, Gordon Hayward, OKC, 20, 15, 5, 47.7, 42.5, 84.5, 50.3, 13.5, 32.7, 41.3, 18.4, 24.1, 76.5, 9.3, 34.3, 43.5, 27.3, 13.6, 7.5, 5.7, 5.2, 17.3, 19.3, 117.0, 5.4
438, Tre Mann, CHA, 20, 7, 13, 49.5, 42.9, 89.2, 48.1, 13.8, 38.9, 35.5, 12.3, 15.3, 80.1, 11.6, 34.4, 46.0, 30.4, 15.1, 7.5, 4.2, 3.9, 17.7, 15.1, 111.9, 6.4
438, Gui Santos, GSW, 20, 14, 6, 46.9, 39.8, 86.6, 45.9, 13.1, 37.7, 34.6, 15.7, 22.8, 68.8, 9.5, 29.1, 38.6, 25.2, 11.3, 7.1, 5.3, 5.9, 17.5, 21.1, 108.3, -3.9
438, Marcus Smart, MEM, 20, 7, 13, 46.9, 38.8, 85.7, 45.2, 13.2, 34.7, 38.0, 19.2, 25.1, 76.8, 9.2, 35.2, 44.5, 23.0, 15.7, 7.4, 5.7, 6.0, 17.5, 21.7, 110.0, 1.6
444, Charles Bassey, SAS, 19, 3, 16, 45.1, 40.9, 82.2, 49.7, 14.9, 35.6, 42.0, 18.5, 23.7, 77.8, 8.6, 31.9, 40.4, 25.1, 14.3, 9.5, 4.4, 6.2, 15.6, 18.0, 115.2, 10.1
444, Moses Brown, POR, 19, 4, 15, 47.7, 42.6, 85.1, 50.0, 14.3, 33.7, 42.4, 19.7, 24.0, 82.1, 10.6, 32.9, 43.4, 26.0, 12.0, 10.3, 8.6, 4.6, 20.0, 16.3, 119.1, 15.4
444, Alec Burks, NYK, 19, 9, 10, 51.2, 43.4, 93.6, 46.4, 12.1, 34.8, 34.7, 14.7, 19.0, 76.9, 14.3, 33.2, 47.4, 25.8, 11.7, 9.3, 5.9, 4.4, 18.5, 18.7, 113.6, 11.7
444, Braxton Key, DEN, 19, 13, 6, 46.1, 33.9, 75.6, 44.8, 11.8, 33.9, 34.9, 23.6, 32.3, 73.2, 11.0, 35.4, 46.5, 20.5, 16.5, 3.9, 4.7, 5.5, 14.2, 23.6, 103.1, 6.3
444, Patty Mills, ATL, 19, 9, 10, 46.6, 43.0, 85.2, 50.4, 12.5, 35.3, 35.3, 17.8, 23.1, 77.0, 9.9, 38.1, 48.0, 26.6, 13.9, 6.2, 5.1, 3.5, 17.1, 20.3, 116.2, 9.0
444, Wendell Moore Jr., MIN, 19, 15, 4, 41.8, 38.1, 74.6, 51.1, 6.3, 23.0, 27.6, 26.2, 36.5, 71.7, 10.3, 31.7, 42.1, 26.2, 15.1, 7.9, 5.6, 4.0, 11.1, 21.4, 108.7, 19.8
444, Monte Morris, MIN, 19, 14, 5, 48.8, 39.5, 85.6, 46.2, 12.0, 31.5, 38.0, 14.6, 19.0, 76.7, 7.2, 36.9, 44.1, 27.0, 14.9, 5.9, 3.6, 7.4, 18.5, 17.0, 105.6, -7.2
444, Jerome Robinson, GSW, 19, 14, 5, 44.8, 33.3, 79.1, 42.1, 9.8, 34.0, 28.8, 13.7, 20.9, 65.6, 6.5, 30.1, 36.6, 19.0, 13.1, 8.5, 3.3, 9.2, 13.7, 15.7, 90.2, -18.3
444, Lamar Stevens, BOS, 19, 15, 4, 46.7, 36.8, 86.6, 42.5, 9.6, 36.4, 26.3, 18.0, 24.1, 74.6, 13.8, 34.5, 48.3, 23.0, 15.3, 6.5, 4.2, 5.4, 18.4, 19.5, 101.1, -3.8
444, Mark Williams, CHA, 19, 7, 12, 48.1, 44.4, 90.9, 48.9, 12.8, 35.6, 35.9, 15.5, 20.2, 77.0, 10.6, 33.1, 43.8, 25.9, 13.5, 7.1, 5.4, 4.5, 17.9, 17.6, 117.1, 2.0
454, Onuralp Bitim, CHI, 18, 8, 10, 48.1, 42.2, 88.1, 47.9, 14.1, 39.2, 35.9, 16.4, 23.2, 70.6, 11.5, 32.2, 43.7, 26.7, 12.8, 7.9, 5.3, 3.8, 19.8, 17.7, 114.9, 8.1
454, AJ Griffin, ATL, 18, 8, 10, 44.5, 43.6, 81.9, 53.3, 14.4, 34.9, 41.3, 17.4, 21.1, 82.5, 8.1, 32.9, 40.9, 31.2, 16.1, 9.1, 6.7, 4.4, 17.8, 15.1, 119.1, 9.4
454, Kyle Lowry, PHI, 18, 6, 12, 50.4, 40.3, 86.8, 46.4, 13.5, 37.7, 35.8, 19.0, 23.6, 80.4, 11.4, 37.9, 49.2, 28.0, 15.5, 6.6, 5.3, 5.8, 18.0, 21.0, 113.0, 5.9
