IND, PLAYER, TEAM, AGE, GP, W, L, MIN, PTS_OFF_TO, 2ND_PTS, FBPS, PITP, OPP_PTS_OFF_TO OPP_2ND_PTS, OPP_FBPS, OPP_PITP, BLK, BLKA, PF, PFD
72, Cedi Osman , SAS, 29, 72, 17, 55, 17.6, 0.9, 0.5, 1.3, 2.6, 6.7, 5.6, 5.6, 19.7, 0.2, 0.3, 1.5, 1.0
72, Deni Avdija , WAS, 23, 72, 14, 58, 29.9, 1.9, 1.3, 2.7, 8.1, 10.9, 10.1, 9.3, 37.0, 0.5, 1.0, 2.5, 3.3
72, Drew Eubanks , PHX, 27, 72, 40, 32, 15.7, 0.4, 1.0, 0.2, 4.0, 5.9, 5.1, 5.1, 15.3, 0.8, 0.3, 1.6, 1.2
72, Giannis Antetokounmpo , MIL, 29, 72, 44, 28, 35.3, 3.9, 3.8, 5.5, 20.4, 10.6, 9.5, 9.0, 37.3, 1.1, 1.2, 2.9, 8.3
72, Herbert Jones , NOP, 25, 72, 43, 29, 30.3, 2.2, 1.3, 2.4, 4.6, 9.4, 7.7, 8.0, 28.6, 0.8, 0.6, 2.9, 1.8
72, Isaiah Hartenstein , NYK, 25, 72, 44, 28, 25.1, 1.0, 2.2, 0.4, 6.0, 7.2, 6.3, 7.3, 23.9, 1.1, 0.4, 2.8, 1.8
72, Jabari Smith Jr. , HOU, 20, 72, 36, 36, 31.8, 1.7, 2.3, 1.7, 4.9, 9.5, 9.1, 7.2, 32.0, 0.8, 0.8, 2.7, 1.8
72, Jayson Tatum , BOS, 26, 72, 57, 15, 35.8, 4.2, 2.2, 3.0, 9.5, 9.5, 10.2, 9.5, 35.6, 0.6, 0.8, 2.0, 4.6
72, Kentavious Caldwell-Pope , DEN, 31, 72, 51, 21, 31.8, 1.8, 0.7, 2.2, 2.4, 9.9, 8.3, 9.3, 33.8, 0.5, 0.2, 2.0, 1.3
72, Malik Monk , SAC, 26, 72, 42, 30, 26.0, 2.1, 1.3, 2.4, 5.6, 9.0, 6.4, 6.3, 26.3, 0.5, 0.8, 2.2, 2.3
72, Mike Conley , MIN, 36, 72, 51, 21, 28.8, 1.4, 0.6, 1.4, 2.6, 10.2, 7.9, 7.9, 27.9, 0.2, 0.2, 1.7, 1.6
72, Pat Connaughton , MIL, 31, 72, 43, 29, 22.2, 0.8, 0.5, 0.4, 1.7, 6.5, 6.3, 6.3, 23.8, 0.3, 0.1, 1.3, 0.8
72, Paul George , LAC, 33, 72, 47, 25, 34.1, 3.2, 1.6, 2.4, 5.8, 10.2, 9.3, 9.4, 33.3, 0.5, 0.8, 2.8, 3.1
72, Rudy Gobert , MIN, 31, 72, 51, 21, 34.0, 1.9, 4.2, 0.7, 10.4, 12.0, 8.5, 9.4, 30.8, 2.1, 0.8, 3.1, 5.0
86, Brandon Miller , CHA, 21, 71, 17, 54, 32.4, 2.4, 1.2, 2.6, 5.5, 11.4, 9.5, 8.9, 36.8, 0.6, 0.6, 2.5, 2.6
86, Daniel Gafford , DAL, 25, 71, 28, 43, 24.7, 1.5, 2.6, 0.9, 9.0, 7.9, 8.7, 7.9, 27.5, 2.1, 0.5, 3.2, 2.2
86, Derrick White , BOS, 29, 71, 58, 13, 32.7, 1.8, 1.6, 1.9, 4.8, 8.5, 9.4, 8.6, 32.6, 1.2, 0.4, 2.1, 2.2
86, Fred VanVleet , HOU, 30, 71, 37, 34, 36.7, 2.6, 1.4, 2.6, 3.0, 10.9, 9.9, 7.8, 36.2, 0.8, 0.4, 2.5, 2.6
86, Grayson Allen , PHX, 28, 71, 42, 29, 33.6, 1.6, 1.3, 1.9, 3.5, 12.7, 9.8, 9.7, 35.7, 0.6, 0.4, 2.1, 1.8
86, Jaime Jaquez Jr. , MIA, 23, 71, 41, 30, 28.3, 1.9, 1.2, 1.8, 7.0, 9.1, 7.9, 7.4, 27.2, 0.2, 0.9, 2.2, 1.7
86, Jalen Suggs , ORL, 22, 71, 42, 29, 26.9, 2.6, 1.4, 2.1, 4.1, 9.8, 6.5, 8.5, 26.5, 0.6, 0.3, 2.7, 2.3
86, James Harden , LAC, 34, 71, 46, 25, 34.6, 1.9, 1.0, 1.9, 3.9, 10.6, 9.5, 9.9, 35.0, 0.8, 0.6, 1.8, 3.3
86, Jonathan Kuminga , GSW, 21, 71, 37, 34, 26.3, 2.3, 1.7, 2.7, 10.2, 8.9, 7.2, 8.0, 27.6, 0.5, 1.0, 2.3, 3.0
86, Kevin Durant , PHX, 35, 71, 41, 30, 37.1, 3.8, 2.3, 3.4, 9.0, 14.2, 11.0, 11.3, 39.9, 1.2, 0.6, 1.8, 4.9
86, Kevon Looney , GSW, 28, 71, 41, 30, 16.2, 0.5, 1.3, 0.1, 3.6, 6.2, 4.0, 5.4, 16.1, 0.3, 0.3, 2.1, 1.0
86, Keyonte George , UTA, 20, 71, 25, 46, 26.9, 1.8, 0.8, 1.6, 3.5, 10.9, 7.9, 11.2, 29.9, 0.1, 0.7, 1.2, 2.8
86, Precious Achiuwa , NYK, 24, 71, 37, 34, 22.3, 1.3, 2.2, 0.8, 5.7, 7.4, 6.3, 6.4, 22.6, 0.9, 0.5, 2.0, 1.2
86, Shai Gilgeous-Alexander , OKC, 25, 71, 51, 20, 34.4, 5.1, 1.7, 3.5, 14.5, 9.9, 10.9, 8.6, 33.0, 0.9, 1.0, 2.5, 6.5
86, Stephen Curry , GSW, 36, 71, 41, 30, 32.7, 3.5, 2.7, 2.3, 5.9, 12.1, 8.7, 10.9, 34.3, 0.3, 0.7, 1.6, 3.7
86, Terance Mann , LAC, 27, 71, 46, 25, 25.3, 1.4, 1.0, 2.2, 4.5, 8.7, 7.0, 7.4, 26.0, 0.2, 0.4, 2.0, 1.1
102, Aaron Gordon , DEN, 28, 70, 47, 23, 31.6, 1.5, 2.5, 1.7, 9.6, 10.2, 8.0, 9.3, 34.5, 0.6, 0.8, 2.0, 3.1
102, Brandin Podziemski , GSW, 21, 70, 38, 32, 26.7, 1.5, 1.1, 1.3, 4.7, 9.3, 7.9, 7.8, 26.9, 0.2, 0.5, 1.7, 1.7
102, Clint Capela , ATL, 29, 70, 33, 37, 25.7, 1.7, 3.9, 0.9, 9.6, 8.5, 7.4, 9.6, 28.7, 1.5, 1.0, 2.3, 2.3
102, Damian Lillard , MIL, 33, 70, 46, 24, 35.4, 2.6, 1.6, 1.9, 6.9, 11.1, 9.9, 10.9, 38.6, 0.2, 1.2, 1.9, 4.9
102, De'Aaron Fox , SAC, 26, 70, 41, 29, 35.8, 4.0, 2.4, 3.6, 11.4, 11.8, 7.7, 8.8, 36.1, 0.4, 0.9, 2.6, 4.5
102, Franz Wagner , ORL, 22, 70, 43, 27, 32.4, 3.6, 2.1, 2.6, 11.5, 10.1, 7.5, 9.9, 31.1, 0.4, 1.1, 2.3, 3.9
102, Julian Champagnie , SAS, 22, 70, 16, 54, 19.3, 0.8, 0.6, 0.9, 1.5, 7.6, 5.3, 5.7, 22.3, 0.6, 0.3, 1.0, 0.8
102, Kyle Kuzma , WAS, 28, 70, 13, 57, 32.6, 3.4, 1.3, 3.9, 11.3, 11.1, 11.7, 10.5, 41.7, 0.7, 0.7, 2.2, 2.7
102, P.J. Washington , DAL, 25, 70, 28, 42, 30.6, 2.0, 1.6, 1.7, 6.0, 10.3, 8.6, 9.0, 31.9, 0.8, 0.6, 2.4, 1.7
102, Toumani Camara , POR, 23, 70, 19, 51, 24.8, 1.2, 2.2, 1.2, 3.9, 9.8, 7.1, 8.8, 26.5, 0.5, 0.4, 2.5, 1.6
112, Aaron Nesmith , IND, 24, 69, 39, 30, 27.8, 2.1, 1.4, 2.0, 4.3, 8.6, 8.3, 6.7, 31.9, 0.7, 0.7, 3.4, 2.0
112, Dillon Brooks , HOU, 28, 69, 34, 35, 31.0, 1.5, 1.3, 2.1, 4.7, 10.2, 9.0, 7.0, 31.2, 0.1, 0.4, 3.3, 1.7
112, Jabari Walker , POR, 21, 69, 18, 51, 23.5, 1.3, 2.2, 0.8, 5.1, 9.2, 7.0, 8.6, 26.6, 0.3, 0.9, 2.4, 1.9
112, Jaden Hardy , DAL, 21, 69, 42, 27, 13.3, 1.2, 0.6, 1.1, 2.3, 4.9, 4.3, 4.6, 14.5, 0.1, 0.3, 1.0, 1.1
112, Keldon Johnson , SAS, 24, 69, 17, 52, 29.5, 2.1, 2.0, 2.2, 7.1, 10.8, 9.1, 9.1, 33.6, 0.3, 0.8, 2.2, 2.4
112, Patrick Beverley , MIL, 35, 69, 41, 28, 19.7, 0.8, 0.7, 0.4, 2.5, 5.8, 5.9, 5.4, 18.8, 0.4, 0.2, 1.8, 1.3
112, Victor Wembanyama , SAS, 20, 69, 17, 52, 29.5, 3.2, 2.8, 2.6, 10.0, 11.6, 7.9, 8.6, 32.0, 3.6, 0.4, 2.2, 5.3
119, Alex Caruso , CHI, 30, 68, 33, 35, 28.4, 1.8, 0.9, 1.6, 3.1, 8.9, 8.0, 7.4, 25.4, 1.0, 0.3, 2.5, 1.9
119, Davion Mitchell , SAC, 25, 68, 40, 28, 14.9, 0.6, 0.4, 0.7, 1.9, 5.3, 3.6, 3.4, 14.8, 0.0, 0.1, 1.2, 0.7
119, Devin Vassell , SAS, 23, 68, 17, 51, 33.1, 2.2, 1.2, 3.0, 6.7, 13.5, 9.7, 10.1, 39.5, 0.3, 0.5, 1.1, 2.2
119, Dorian Finney-Smith , BKN, 30, 68, 28, 40, 28.4, 1.3, 1.1, 1.4, 2.8, 8.6, 8.0, 8.4, 29.1, 0.6, 0.3, 2.2, 0.7
119, Duncan Robinson , MIA, 29, 68, 38, 30, 28.0, 2.2, 0.9, 1.7, 3.3, 9.1, 7.6, 7.7, 26.7, 0.2, 0.4, 2.4, 1.1
119, Gary Trent Jr. , TOR, 25, 68, 24, 44, 28.1, 2.3, 1.0, 2.9, 3.4, 9.4, 9.1, 8.4, 32.5, 0.1, 0.4, 1.3, 1.1
119, Jaden McDaniels , MIN, 23, 68, 46, 22, 29.2, 1.7, 0.9, 1.5, 5.5, 9.7, 7.8, 7.7, 28.0, 0.6, 0.4, 3.1, 1.3
119, Jaylen Brown , BOS, 27, 68, 52, 16, 33.5, 3.5, 2.1, 4.4, 11.5, 9.5, 9.8, 9.6, 33.5, 0.5, 1.0, 2.6, 3.5
119, Jevon Carter , CHI, 28, 68, 33, 35, 13.6, 0.9, 0.4, 0.6, 0.7, 3.7, 4.1, 3.4, 12.0, 0.2, 0.1, 1.0, 0.2
119, John Collins , UTA, 26, 68, 27, 41, 28.0, 1.8, 2.9, 1.5, 8.6, 10.6, 7.8, 11.3, 31.0, 0.9, 1.1, 2.8, 2.4
119, Kawhi Leonard , LAC, 32, 68, 44, 24, 34.3, 3.8, 2.4, 2.9, 10.6, 10.0, 9.5, 9.3, 33.4, 0.9, 0.4, 1.4, 4.2
119, LeBron James , LAL, 39, 68, 39, 29, 35.1, 3.6, 1.5, 5.1, 13.3, 12.3, 10.9, 11.6, 37.3, 0.5, 0.8, 1.1, 4.3
119, Luka Doncic , DAL, 25, 68, 44, 24, 37.5, 4.5, 2.4, 3.0, 11.1, 11.3, 10.4, 12.7, 39.6, 0.5, 0.7, 2.1, 6.9
119, Nic Claxton , BKN, 24, 68, 26, 42, 29.8, 1.5, 2.6, 1.0, 10.1, 9.3, 8.5, 10.5, 30.2, 2.0, 0.6, 2.5, 3.3
119, T.J. McConnell , IND, 32, 68, 38, 30, 18.2, 1.1, 0.5, 0.6, 7.1, 6.1, 5.4, 5.0, 21.9, 0.1, 0.5, 1.1, 1.6
119, Tyrese Maxey , PHI, 23, 68, 41, 27, 37.6, 4.7, 1.5, 3.9, 10.7, 10.5, 10.8, 12.5, 39.8, 0.5, 1.3, 2.1, 4.1
135, Andrew Wiggins , GSW, 29, 67, 35, 32, 27.0, 1.4, 1.6, 1.5, 6.1, 10.4, 8.2, 8.2, 28.1, 0.5, 0.6, 2.0, 2.2
135, Bam Adebayo , MIA, 26, 67, 37, 30, 34.2, 2.5, 2.6, 1.7, 12.9, 10.6, 9.4, 9.4, 32.1, 1.0, 0.7, 2.3, 4.9
135, Jalen Williams , OKC, 22, 67, 47, 20, 31.7, 3.8, 1.7, 2.9, 10.1, 9.1, 10.4, 8.0, 31.7, 0.6, 0.7, 2.6, 2.7
135, Jaxson Hayes , LAL, 23, 67, 39, 28, 12.4, 0.5, 0.8, 0.5, 3.6, 4.8, 4.2, 4.7, 13.7, 0.4, 0.2, 1.8, 1.2
135, Jrue Holiday , BOS, 33, 67, 53, 14, 32.9, 1.4, 1.2, 1.8, 4.8, 9.1, 9.6, 8.9, 31.8, 0.7, 0.4, 1.6, 1.2
135, Marcus Sasser , DET, 23, 67, 10, 57, 18.3, 1.0, 0.5, 0.7, 2.3, 7.7, 5.3, 5.7, 20.4, 0.1, 0.3, 1.5, 1.0
135, Max Strus , CLE, 28, 67, 41, 26, 32.1, 2.3, 1.6, 1.9, 3.7, 11.5, 8.9, 9.4, 30.8, 0.4, 0.6, 2.5, 1.7
135, Tobias Harris , PHI, 31, 67, 38, 29, 33.9, 2.4, 1.8, 3.0, 9.0, 9.6, 9.2, 10.9, 36.0, 0.6, 1.1, 1.7, 2.4
143, Amir Coffey , LAC, 26, 66, 45, 21, 20.0, 1.0, 0.4, 1.4, 2.3, 7.4, 5.7, 7.1, 22.7, 0.2, 0.2, 1.4, 0.7
143, Anthony Black , ORL, 20, 66, 38, 28, 17.2, 1.0, 0.7, 0.8, 2.1, 6.6, 4.2, 5.8, 17.8, 0.3, 0.2, 1.6, 1.2
143, Caris LeVert , CLE, 29, 66, 36, 30, 28.8, 2.5, 1.1, 2.0, 6.1, 9.7, 8.2, 8.3, 27.8, 0.5, 0.7, 1.8, 2.2
143, Immanuel Quickley , TOR, 24, 66, 28, 38, 29.1, 2.7, 1.3, 3.1, 5.1, 8.8, 8.3, 8.0, 30.1, 0.1, 0.6, 1.7, 2.7
143, Isaac Okoro , CLE, 23, 66, 39, 27, 27.4, 1.6, 1.0, 2.7, 4.4, 10.0, 6.8, 7.8, 26.7, 0.5, 0.5, 2.1, 1.7
143, Ivica Zubac , LAC, 27, 66, 41, 25, 26.6, 1.3, 2.6, 0.4, 9.8, 8.3, 7.2, 7.5, 25.1, 1.2, 0.6, 2.7, 2.1
143, Jaren Jackson Jr. , MEM, 24, 66, 22, 44, 32.2, 3.7, 2.1, 0.8, 11.8, 11.3, 9.6, 10.1, 31.4, 1.6, 1.8, 3.6, 5.7
