IND, PLAYER, TEAM, AGE, GP, W, L, MIN, PTS, FGM, FGA, FG%, 3PM, 3PA, 3P%, FTM, FTA, FT%, OREB, DREB, REB, AST, TOV, STL, BLK, PF, FP, DD2, TD3, plus_minus
462, Joe Harris , DET, 32, 16, 4, 12, 10.6, 2.4, 0.9, 2.4, 35.9, 0.6, 1.9, 33.3, 0.1, 0.1, 50.0, 0.2, 0.6, 0.8, 0.6, 0.3, 0.2, 0.1, 1.2, 5.0, 0.0, 0.0, -3.0
463, Olivier Sarr , OKC, 25, 14, 7, 7, 6.8, 2.4, 0.8, 1.4, 57.9, 0.1, 0.4, 33.3, 0.7, 1.1, 66.7, 0.7, 1.8, 2.5, 0.1, 0.2, 0.0, 0.5, 1.3, 6.9, 0.0, 0.0, 0.6
464, Cory Joseph , GSW, 32, 26, 10, 16, 11.4, 2.4, 0.9, 2.5, 35.9, 0.5, 1.6, 31.0, 0.2, 0.3, 57.1, 0.2, 0.9, 1.2, 1.6, 0.5, 0.2, 0.1, 1.0, 6.6, 0.0, 0.0, -0.5
465, Reggie Bullock Jr. , HOU, 33, 40, 21, 19, 9.7, 2.4, 0.9, 2.0, 42.5, 0.7, 1.6, 41.5, 0.0, 0.0, 100, 0.2, 1.6, 1.7, 0.4, 0.2, 0.3, 0.1, 0.7, 5.8, 0.0, 0.0, -1.1
466, Chuma Okeke , ORL, 25, 44, 23, 21, 9.6, 2.4, 0.9, 2.5, 35.5, 0.5, 1.8, 28.4, 0.1, 0.2, 57.1, 0.4, 1.4, 1.8, 0.4, 0.3, 0.2, 0.2, 0.4, 5.9, 0.0, 0.0, -1.6
467, Nate Hinton , HOU, 24, 13, 6, 7, 4.6, 2.4, 0.8, 1.8, 43.5, 0.5, 0.9, 58.3, 0.3, 0.4, 80.0, 0.5, 0.8, 1.3, 0.5, 0.2, 0.2, 0.2, 0.8, 5.3, 0.0, 0.0, 1.3
468, Leaky Black , CHA, 24, 23, 1, 22, 10.1, 2.3, 0.8, 1.8, 46.3, 0.3, 0.7, 46.7, 0.4, 0.6, 64.3, 0.3, 1.3, 1.7, 0.8, 0.2, 0.2, 0.3, 0.7, 7.1, 0.0, 0.0, -1.5
469, Dereon Seabron , NOP, 23, 6, 3, 3, 9.2, 2.3, 0.7, 2.2, 30.8, 0.2, 0.3, 50.0, 0.8, 1.0, 83.3, 0.2, 1.0, 1.2, 0.8, 0.0, 0.3, 0.2, 0.7, 6.5, 0.0, 0.0, 4.7
470, Olivier-Maxence Prosper , DAL, 21, 36, 22, 14, 7.3, 2.3, 0.7, 2.1, 34.7, 0.2, 0.9, 23.5, 0.6, 0.9, 67.6, 0.6, 1.2, 1.8, 0.6, 0.1, 0.1, 0.1, 0.5, 5.8, 0.0, 0.0, -1.4
471, Ish Wainright , PHX, 29, 10, 2, 8, 6.1, 2.3, 0.7, 2.4, 29.2, 0.7, 2.0, 35.0, 0.2, 0.2, 100, 0.3, 1.1, 1.4, 0.1, 0.2, 0.4, 0.1, 0.8, 5.4, 0.0, 0.0, -0.6
471, Mouhamadou Gueye , TOR, 25, 10, 0, 10, 9.7, 2.3, 1.0, 3.1, 32.3, 0.0, 0.3, 0.0, 0.3, 0.8, 37.5, 1.1, 0.8, 1.9, 0.4, 1.2, 0.2, 1.5, 1.1, 9.1, 0.0, 0.0, -7.6
473, Andre Jackson Jr. , MIL, 22, 53, 31, 22, 10.2, 2.3, 0.9, 1.8, 50.5, 0.3, 0.8, 37.2, 0.2, 0.2, 72.7, 0.8, 1.2, 2.0, 0.9, 0.5, 0.3, 0.1, 1.7, 6.8, 1.0, 0.0, -1.2
474, Julian Phillips , CHI, 20, 40, 20, 20, 8.1, 2.2, 0.8, 1.9, 41.6, 0.3, 1.0, 31.6, 0.3, 0.5, 68.4, 0.3, 0.6, 0.9, 0.3, 0.3, 0.2, 0.2, 1.0, 4.6, 0.0, 0.0, -0.1
475, Udoka Azubuike , PHX, 24, 16, 12, 4, 7.1, 2.2, 1.0, 1.4, 69.6, 0.0, 0.0, 0.0, 0.2, 0.8, 23.1, 0.7, 1.3, 2.0, 0.2, 0.3, 0.1, 0.4, 1.1, 5.9, 1.0, 0.0, -3.0
476, Marques Bolden , CHA, 25, 7, 3, 4, 7.8, 2.1, 1.0, 1.3, 77.8, 0.0, 0.0, 0.0, 0.1, 0.3, 50.0, 0.6, 2.1, 2.7, 0.0, 0.1, 0.1, 0.1, 0.9, 6.1, 0.0, 0.0, 0.0
477, Trent Forrest , ATL, 25, 36, 18, 18, 10.8, 2.1, 0.9, 2.4, 36.5, 0.1, 0.3, 20.0, 0.4, 0.4, 81.3, 0.3, 1.0, 1.3, 2.4, 0.5, 0.3, 0.1, 0.7, 7.8, 0.0, 0.0, -2.1
478, AJ Griffin , ATL, 20, 18, 8, 10, 7.4, 2.1, 0.7, 2.5, 28.9, 0.5, 1.8, 27.3, 0.1, 0.1, 100, 0.1, 0.7, 0.8, 0.2, 0.3, 0.1, 0.1, 0.3, 3.3, 0.0, 0.0, -1.6
479, Jericho Sims , NYK, 25, 44, 29, 15, 12.8, 2.0, 0.9, 1.2, 70.4, 0.0, 0.0, 0.0, 0.3, 0.5, 63.6, 1.2, 2.0, 3.3, 0.5, 0.4, 0.2, 0.4, 1.0, 8.2, 0.0, 0.0, -0.5
480, Colby Jones , SAC, 21, 27, 14, 13, 6.5, 2.0, 0.9, 2.4, 37.9, 0.1, 0.8, 9.5, 0.1, 0.3, 28.6, 0.6, 0.8, 1.4, 0.7, 0.3, 0.3, 0.1, 0.9, 5.7, 0.0, 0.0, 1.0
480, D'Moi Hodge , LAL, 25, 7, 1, 6, 5.9, 2.0, 0.7, 2.1, 33.3, 0.4, 1.7, 25.0, 0.1, 0.3, 50.0, 0.0, 0.0, 0.0, 0.7, 0.1, 0.1, 0.1, 0.6, 3.8, 0.0, 0.0, -5.0
480, Isaiah Wong , IND, 23, 1, 1, 0, 4.3, 2.0, 1.0, 3.0, 33.3, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, -5.0
480, Jason Preston , UTA, 24, 5, 1, 4, 9.5, 2.0, 1.0, 2.4, 41.7, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0, 0.8, 1.4, 2.2, 2.6, 0.4, 0.4, 0.0, 0.4, 9.3, 0.0, 0.0, 1.4
480, Jordan Ford , SAC, 25, 6, 2, 4, 3.6, 2.0, 0.7, 1.2, 57.1, 0.3, 0.5, 66.7, 0.3, 0.3, 100, 0.0, 0.3, 0.3, 0.3, 0.2, 0.0, 0.0, 0.0, 2.7, 0.0, 0.0, 2.3
480, Kevon Harris , ORL, 26, 2, 1, 1, 3.0, 2.0, 1.0, 1.5, 66.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.5, 0.5, 0.0, 0.0, 1.5, 3.5, 0.0, 0.0, 0.0
480, Lindell Wigginton , MIL, 26, 3, 3, 0, 2.5, 2.0, 0.7, 1.7, 40.0, 0.0, 0.7, 0.0, 0.7, 0.7, 100, 0.0, 0.0, 0.0, 0.0, 0.3, 0.0, 0.0, 0.3, 1.7, 0.0, 0.0, -3.3
480, Mamadi Diakite , NYK, 27, 6, 5, 1, 4.1, 2.0, 0.7, 1.0, 66.7, 0.0, 0.2, 0.0, 0.7, 1.0, 66.7, 0.2, 0.5, 0.7, 0.3, 0.2, 0.2, 0.2, 0.3, 4.1, 0.0, 0.0, 0.5
480, Markquis Nowell , TOR, 24, 1, 0, 1, 3.5, 2.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 100, 2.0, 0.0, 2.0, 2.0, 0.0, 1.0, 0.0, 0.0, 10.4, 0.0, 0.0, 4.0
480, Taze Moore , POR, 25, 3, 1, 2, 3.4, 2.0, 1.0, 1.7, 60.0, 0.0, 0.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3, 0.3, 0.3, 0.0, 0.7, 3.2, 0.0, 0.0, 1.7
480, Timmy Allen , MEM, 24, 1, 0, 1, 26.1, 2.0, 1.0, 6.0, 16.7, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 0.0, 1.0, 0.0, 0.0, 2.0, 3.4, 0.0, 0.0, -18.0
480, Ty Jerome , CLE, 26, 2, 1, 1, 7.4, 2.0, 1.0, 2.0, 50.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.5, 1.5, 0.5, 0.0, 0.0, 1.0, 4.4, 0.0, 0.0, -7.0
492, Dylan Windler , ATL, 27, 16, 9, 7, 5.1, 1.9, 0.7, 1.4, 47.8, 0.6, 1.3, 45.0, 0.0, 0.0, 0.0, 0.1, 0.8, 0.8, 0.6, 0.1, 0.1, 0.0, 0.3, 4.1, 0.0, 0.0, 0.3
493, Cody Zeller , NOP, 31, 40, 24, 16, 7.6, 1.9, 0.6, 1.5, 41.7, 0.0, 0.1, 33.3, 0.6, 1.0, 60.5, 1.2, 1.6, 2.7, 0.9, 0.4, 0.2, 0.1, 1.1, 7.1, 0.0, 0.0, 1.4
494, Brandon Williams , DAL, 24, 13, 8, 5, 4.6, 1.8, 0.6, 1.8, 34.8, 0.2, 0.5, 28.6, 0.5, 0.8, 54.5, 0.2, 0.3, 0.5, 0.9, 0.2, 0.1, 0.1, 0.2, 4.1, 0.0, 0.0, -1.9
495, Kessler Edwards , SAC, 23, 52, 31, 21, 5.0, 1.8, 0.7, 1.6, 42.0, 0.4, 1.0, 38.5, 0.1, 0.2, 55.6, 0.2, 0.6, 0.8, 0.3, 0.1, 0.2, 0.1, 0.5, 3.8, 0.0, 0.0, -0.9
496, Mason Jones , SAC, 25, 4, 2, 2, 5.5, 1.8, 0.5, 1.8, 28.6, 0.5, 1.5, 33.3, 0.3, 0.5, 50.0, 0.3, 1.0, 1.3, 1.3, 0.3, 0.3, 0.0, 0.3, 5.6, 0.0, 0.0, 0.3
497, Jett Howard , ORL, 20, 15, 8, 7, 3.5, 1.7, 0.6, 1.6, 37.5, 0.4, 1.3, 31.6, 0.1, 0.3, 50.0, 0.1, 0.3, 0.4, 0.2, 0.1, 0.0, 0.1, 0.2, 2.6, 0.0, 0.0, -0.1
498, Kobe Brown , LAC, 24, 40, 26, 14, 7.7, 1.7, 0.7, 1.7, 41.8, 0.3, 1.0, 30.8, 0.0, 0.1, 50.0, 0.3, 1.0, 1.3, 0.4, 0.2, 0.2, 0.1, 1.1, 4.4, 0.0, 0.0, -1.4
499, Leonard Miller , MIN, 20, 14, 12, 2, 3.1, 1.7, 0.8, 1.1, 68.8, 0.1, 0.3, 50.0, 0.0, 0.0, 0.0, 0.2, 0.9, 1.1, 0.5, 0.1, 0.1, 0.1, 0.3, 4.3, 0.0, 0.0, 0.1
500, Daishen Nix , MIN, 22, 13, 10, 3, 3.5, 1.7, 0.6, 1.7, 36.4, 0.4, 1.2, 33.3, 0.1, 0.3, 25.0, 0.0, 0.2, 0.2, 0.4, 0.2, 0.4, 0.0, 0.1, 3.4, 0.0, 0.0, 2.1
501, Jalen Pickett , DEN, 24, 25, 18, 7, 4.8, 1.7, 0.6, 1.4, 42.9, 0.4, 1.0, 36.0, 0.1, 0.2, 75.0, 0.0, 0.5, 0.6, 0.8, 0.4, 0.2, 0.0, 0.5, 3.7, 0.0, 0.0, 0.1
502, Adama Sanogo , CHI, 22, 6, 1, 5, 2.5, 1.7, 0.7, 0.7, 100, 0.0, 0.0, 0.0, 0.3, 0.5, 66.7, 0.5, 1.0, 1.5, 0.0, 0.2, 0.0, 0.0, 0.0, 3.3, 0.0, 0.0, 4.2
502, Jamaree Bouyea , SAS, 24, 6, 0, 6, 9.5, 1.7, 0.8, 3.5, 23.8, 0.0, 1.3, 0.0, 0.0, 0.0, 0.0, 0.3, 1.3, 1.7, 1.3, 1.3, 0.0, 0.0, 0.5, 4.3, 0.0, 0.0, -3.7
502, Jermaine Samuels Jr. , HOU, 25, 12, 6, 6, 4.5, 1.7, 0.8, 1.1, 69.2, 0.0, 0.2, 0.0, 0.2, 0.2, 100, 0.3, 0.8, 1.0, 0.2, 0.0, 0.1, 0.1, 0.3, 3.6, 0.0, 0.0, -0.8
505, Jordan Miller , LAC, 24, 8, 5, 3, 3.5, 1.6, 0.6, 1.1, 55.6, 0.1, 0.3, 50.0, 0.3, 0.3, 100, 0.4, 0.3, 0.6, 0.0, 0.1, 0.0, 0.0, 0.3, 2.3, 0.0, 0.0, -1.6
506, Jalen Hood-Schifino , LAL, 20, 21, 10, 11, 5.2, 1.6, 0.5, 2.1, 22.2, 0.1, 0.7, 13.3, 0.6, 1.0, 60.0, 0.1, 0.5, 0.6, 0.4, 0.4, 0.1, 0.1, 0.6, 3.2, 0.0, 0.0, -2.6
507, Colin Castleton , LAL, 23, 14, 8, 6, 4.0, 1.6, 0.6, 0.9, 61.5, 0.0, 0.0, 0.0, 0.4, 0.4, 100, 0.4, 0.4, 0.8, 0.2, 0.2, 0.1, 0.0, 0.7, 2.8, 0.0, 0.0, -2.9
508, Seth Lundy , ATL, 24, 9, 2, 7, 5.8, 1.6, 0.4, 1.9, 23.5, 0.3, 1.4, 23.1, 0.3, 0.4, 75.0, 0.1, 0.7, 0.8, 0.0, 0.1, 0.0, 0.0, 0.7, 2.4, 0.0, 0.0, -1.4
509, Ibou Badji , POR, 21, 21, 5, 16, 10.3, 1.5, 0.6, 1.0, 65.0, 0.0, 0.0, 0.0, 0.3, 0.6, 50.0, 1.0, 1.5, 2.4, 0.6, 0.7, 0.1, 1.0, 2.1, 7.8, 0.0, 0.0, -4.5
510, Dariq Whitehead , BKN, 19, 2, 1, 1, 12.0, 1.5, 0.5, 2.5, 20.0, 0.0, 1.5, 0.0, 0.5, 1.0, 50.0, 0.0, 2.0, 2.0, 1.5, 0.0, 0.0, 0.5, 0.0, 7.7, 0.0, 0.0, -11.0
510, Isaiah Mobley , CLE, 24, 8, 1, 7, 6.7, 1.5, 0.6, 1.6, 38.5, 0.3, 0.9, 28.6, 0.0, 0.0, 0.0, 0.0, 0.8, 0.8, 0.8, 0.1, 0.1, 0.0, 0.6, 3.8, 0.0, 0.0, -1.8
510, Justin Minaya , POR, 25, 30, 3, 27, 8.8, 1.5, 0.5, 1.7, 32.0, 0.3, 1.1, 27.3, 0.1, 0.3, 50.0, 0.6, 0.7, 1.3, 0.4, 0.2, 0.3, 0.3, 0.7, 5.2, 0.0, 0.0, -0.7
510, P.J. Tucker , LAC, 38, 28, 13, 15, 15.5, 1.5, 0.5, 1.6, 31.8, 0.4, 1.1, 34.4, 0.1, 0.1, 100, 0.9, 1.8, 2.7, 0.5, 0.3, 0.5, 0.3, 1.9, 7.5, 0.0, 0.0, -1.3
514, Terry Taylor , CHI, 24, 31, 12, 19, 6.1, 1.5, 0.6, 1.3, 51.3, 0.1, 0.3, 22.2, 0.1, 0.2, 80.0, 0.5, 0.6, 1.2, 0.3, 0.2, 0.2, 0.1, 0.5, 3.9, 0.0, 0.0, 0.5
515, Josh Minott , MIN, 21, 29, 22, 7, 2.9, 1.5, 0.5, 1.1, 43.8, 0.1, 0.3, 33.3, 0.4, 0.5, 85.7, 0.1, 0.4, 0.6, 0.2, 0.1, 0.2, 0.2, 0.3, 3.5, 0.0, 0.0, 0.5
516, Jacob Toppin , NYK, 23, 9, 2, 7, 4.2, 1.4, 0.6, 1.0, 55.6, 0.1, 0.4, 25.0, 0.2, 0.2, 100, 0.3, 0.4, 0.8, 0.3, 0.1, 0.0, 0.1, 0.3, 3.1, 0.0, 0.0, -1.8
517, Hunter Tyson , DEN, 23, 15, 11, 4, 2.9, 1.3, 0.5, 1.3, 42.1, 0.3, 0.9, 30.8, 0.0, 0.0, 0.0, 0.1, 0.5, 0.6, 0.1, 0.1, 0.0, 0.0, 0.7, 2.1, 0.0, 0.0, 0.9
517, JD Davison , BOS, 21, 6, 6, 0, 1.9, 1.3, 0.3, 0.5, 66.7, 0.3, 0.5, 66.7, 0.3, 0.3, 100, 0.2, 0.3, 0.5, 0.2, 0.0, 0.0, 0.0, 0.2, 2.2, 0.0, 0.0, 1.3
517, Taj Gibson , DET, 38, 18, 7, 11, 10.3, 1.3, 0.6, 1.6, 35.7, 0.1, 0.6, 20.0, 0.1, 0.1, 100, 0.6, 1.1, 1.7, 0.5, 0.3, 0.2, 0.3, 1.7, 5.3, 0.0, 0.0, -1.4
520, Nathan Mensah , CHA, 25, 25, 3, 22, 12.3, 1.3, 0.5, 1.1, 42.9, 0.0, 0.0, 0.0, 0.4, 0.5, 75.0, 1.2, 1.4, 2.6, 0.4, 0.6, 0.2, 0.6, 2.6, 6.8, 0.0, 0.0, -5.3
521, Kendall Brown , IND, 20, 13, 8, 5, 3.9, 1.3, 0.5, 0.8, 54.5, 0.0, 0.1, 0.0, 0.4, 0.6, 62.5, 0.2, 0.1, 0.3, 0.3, 0.1, 0.0, 0.0, 0.6, 2.1, 0.0, 0.0, -2.2
522, Jay Huff , DEN, 26, 18, 14, 4, 2.6, 1.3, 0.5, 0.8, 60.0, 0.2, 0.5, 33.3, 0.1, 0.1, 100, 0.1, 0.5, 0.6, 0.1, 0.1, 0.1, 0.1, 0.4, 2.6, 0.0, 0.0, -0.3
523, Isaiah Thomas , PHX, 35, 4, 3, 1, 3.4, 1.3, 0.5, 1.5, 33.3, 0.3, 0.5, 50.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, -2.8
523, R.J. Hampton , MIA, 23, 8, 3, 5, 9.5, 1.3, 0.5, 1.8, 28.6, 0.1, 1.0, 12.5, 0.1, 0.3, 50.0, 0.3, 0.5, 0.8, 1.0, 0.4, 0.0, 0.0, 1.0, 3.3, 0.0, 0.0, 2.6
525, Jerome Robinson , GSW, 27, 21, 16, 5, 3.6, 1.2, 0.4, 1.5, 29.0, 0.1, 0.8, 11.8, 0.3, 0.5, 60.0, 0.0, 0.2, 0.3, 0.2, 0.1, 0.0, 0.1, 0.2, 2.3, 0.0, 0.0, 1.0
526, Keyontae Johnson , OKC, 23, 9, 7, 2, 7.4, 1.2, 0.6, 1.8, 31.3, 0.1, 0.3, 33.3, 0.0, 0.0, 0.0, 0.4, 0.7, 1.1, 0.4, 0.4, 0.1, 0.0, 0.6, 3.1, 0.0, 0.0, -0.8
527, Robin Lopez , MIL, 36, 16, 10, 6, 4.0, 1.1, 0.4, 1.2, 36.8, 0.1, 0.5, 25.0, 0.1, 0.1, 100, 0.2, 0.1, 0.3, 0.3, 0.1, 0.1, 0.2, 0.4, 2.5, 0.0, 0.0, -1.4
528, Xavier Moon , LAC, 29, 10, 6, 4, 3.9, 1.1, 0.5, 1.5, 33.3, 0.0, 0.5, 0.0, 0.1, 0.2, 50.0, 0.3, 0.3, 0.6, 0.7, 0.4, 0.1, 0.1, 0.4, 3.1, 0.0, 0.0, -3.1
529, Chris Livingston , MIL, 20, 18, 11, 7, 4.1, 1.1, 0.4, 1.0, 44.4, 0.1, 0.2, 25.0, 0.1, 0.1, 100, 0.1, 0.7, 0.8, 0.3, 0.2, 0.1, 0.0, 0.6, 2.6, 0.0, 0.0, -0.8
530, Braxton Key , DEN, 27, 19, 13, 6, 3.1, 1.1, 0.4, 0.9, 41.2, 0.1, 0.3, 40.0, 0.2, 0.3, 66.7, 0.2, 0.7, 0.8, 0.5, 0.1, 0.1, 0.1, 0.3, 3.2, 0.0, 0.0, -0.4
531, Admiral Schofield , ORL, 27, 22, 15, 7, 3.7, 1.0, 0.4, 1.1, 37.5, 0.2, 0.7, 33.3, 0.0, 0.1, 0.0, 0.1, 0.6, 0.7, 0.3, 0.2, 0.0, 0.0, 0.4, 2.2, 0.0, 0.0, -0.8
532, Alex Fudge , DAL, 20, 4, 1, 3, 3.6, 1.0, 0.3, 1.5, 16.7, 0.0, 0.5, 0.0, 0.5, 0.5, 100, 0.5, 0.0, 0.5, 0.0, 0.3, 0.0, 0.0, 0.3, 1.4, 0.0, 0.0, -5.0
532, Filip Petrusev , SAC, 23, 3, 2, 1, 3.1, 1.0, 0.3, 0.7, 50.0, 0.0, 0.0, 0.0, 0.3, 0.7, 50.0, 0.0, 0.3, 0.3, 0.0, 0.0, 0.0, 0.0, 0.3, 1.4, 0.0, 0.0, 2.0
532, Frank Ntilikina , CHA, 25, 5, 0, 5, 8.6, 1.0, 0.2, 1.8, 11.1, 0.2, 1.6, 12.5, 0.4, 0.4, 100, 0.2, 1.0, 1.2, 0.8, 0.2, 0.0, 0.0, 0.8, 3.4, 0.0, 0.0, -0.2
532, Hamidou Diallo , WAS, 25, 2, 1, 1, 2.4, 1.0, 0.5, 1.0, 50.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.5, 0.5, 1.0, 0.0, 0.5, 5.5, 0.0, 0.0, 2.0
532, Henri Drell , CHI, 23, 2, 0, 2, 2.2, 1.0, 0.5, 1.0, 50.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.5, 1.5, 0.5, 0.0, 0.0, 0.0, 3.4, 0.0, 0.0, 1.0
532, James Johnson , IND, 37, 8, 3, 5, 5.0, 1.0, 0.4, 1.1, 33.3, 0.0, 0.3, 0.0, 0.3, 0.3, 100, 0.1, 0.4, 0.5, 0.9, 0.5, 0.6, 0.1, 0.9, 4.7, 0.0, 0.0, -0.1
532, Joshua Primo , LAC, 21, 2, 2, 0, 5.1, 1.0, 0.5, 1.5, 33.3, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.5, 0.0, 2.0, 0.0, 0.5, 0.0, 1.1, 0.0, 0.0, -0.5
539, Amari Bailey , CHA, 20, 8, 0, 8, 3.9, 0.9, 0.4, 1.5, 25.0, 0.0, 0.6, 0.0, 0.1, 0.3, 50.0, 0.3, 0.0, 0.3, 0.3, 0.1, 0.1, 0.0, 0.0, 1.8, 0.0, 0.0, 0.4
540, Thanasis Antetokounmpo , MIL, 31, 30, 19, 11, 4.6, 0.9, 0.4, 0.9, 50.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.2, 0.2, 0.4, 0.5, 0.4, 0.2, 0.1, 0.8, 2.6, 0.0, 0.0, -1.1
541, Jordan Walsh , BOS, 20, 7, 7, 0, 6.6, 0.9, 0.4, 1.3, 33.3, 0.0, 0.7, 0.0, 0.0, 0.0, 0.0, 0.6, 1.4, 2.0, 0.6, 0.3, 0.3, 0.1, 1.0, 5.1, 0.0, 0.0, 4.1
541, TyTy Washington Jr. , MIL, 22, 7, 3, 4, 4.4, 0.9, 0.3, 1.4, 20.0, 0.3, 0.6, 50.0, 0.0, 0.0, 0.0, 0.1, 0.3, 0.4, 0.1, 0.3, 0.3, 0.0, 0.1, 2.2, 0.0, 0.0, -0.4
543, DaQuan Jeffries , NYK, 26, 17, 11, 6, 2.7, 0.8, 0.4, 1.0, 35.3, 0.1, 0.6, 20.0, 0.0, 0.1, 0.0, 0.0, 0.3, 0.3, 0.3, 0.2, 0.0, 0.1, 0.1, 1.6, 0.0, 0.0, -0.6
544, Alondes Williams , MIA, 24, 4, 3, 1, 2.9, 0.8, 0.3, 1.0, 25.0, 0.0, 0.5, 0.0, 0.3, 0.3, 100, 0.0, 0.3, 0.3, 0.0, 0.3, 0.0, 0.0, 0.0, 0.8, 0.0, 0.0, -2.5
544, Charlie Brown Jr. , NYK, 27, 8, 2, 6, 4.7, 0.8, 0.3, 1.3, 20.0, 0.3, 0.9, 28.6, 0.0, 0.0, 0.0, 0.1, 0.1, 0.3, 0.0, 0.3, 0.0, 0.3, 0.6, 1.6, 0.0, 0.0, -0.8
544, Sidy Cissoko , SAS, 20, 8, 2, 6, 5.4, 0.8, 0.1, 0.9, 14.3, 0.0, 0.6, 0.0, 0.5, 0.5, 100, 0.0, 0.9, 0.9, 0.0, 0.3, 0.4, 0.0, 0.5, 2.7, 0.0, 0.0, 0.9
547, Shaquille Harrison , MEM, 30, 3, 1, 2, 2.0, 0.7, 0.3, 0.7, 50.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7, 0.7, 0.0, 0.0, 0.0, 0.3, 0.0, 2.5, 0.0, 0.0, -3.7
548, Juan Toscano-Anderson , SAC, 30, 11, 7, 4, 4.8, 0.6, 0.3, 1.1, 25.0, 0.1, 0.4, 25.0, 0.0, 0.0, 0.0, 0.4, 0.9, 1.3, 0.4, 0.2, 0.1, 0.1, 1.0, 3.1, 0.0, 0.0, -0.8
548, Wendell Moore Jr. , MIN, 22, 22, 17, 5, 3.0, 0.6, 0.3, 0.7, 46.7, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.2, 0.1, 0.2, 0.0, 0.2, 2.2, 0.0, 0.0, -0.5
550, Jalen Slawson , SAC, 24, 10, 7, 3, 3.3, 0.6, 0.3, 0.5, 60.0, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0, 0.1, 0.6, 0.7, 0.2, 0.2, 0.1, 0.1, 0.7, 2.1, 0.0, 0.0, -1.1
551, E.J. Liddell , NOP, 23, 8, 3, 5, 2.9, 0.5, 0.1, 0.8, 16.7, 0.0, 0.6, 0.0, 0.3, 0.3, 100, 0.0, 0.6, 0.6, 0.1, 0.3, 0.3, 0.3, 0.3, 2.7, 0.0, 0.0, -0.5
551, Pat Spencer , GSW, 27, 4, 2, 2, 2.2, 0.5, 0.3, 0.3, 100, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 1.3, 0.0, 0.0, -2.8
551, Usman Garuba , GSW, 22, 4, 3, 1, 2.6, 0.5, 0.3, 1.3, 20.0, 0.0, 0.3, 0.0, 0.0, 0.0, 0.0, 0.8, 0.0, 0.8, 0.3, 0.3, 0.3, 0.0, 0.5, 2.3, 0.0, 0.0, -4.0
554, Maxwell Lewis , LAL, 21, 32, 17, 15, 3.1, 0.3, 0.1, 0.6, 20.0, 0.0, 0.3, 12.5, 0.0, 0.0, 0.0, 0.1, 0.1, 0.1, 0.2, 0.3, 0.1, 0.0, 0.1, 0.7, 0.0, 0.0, -2.2
555, Adam Flagler , OKC, 24, 1, 1, 0, 5.5, 0.0, 0.0, 3.0, 0.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.5, 0.0, 0.0, 0.0
555, Andrew Funk , CHI, 24, 3, 1, 2, 1.3, 0.0, 0.0, 0.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.3
555, Danny Green , PHI, 36, 2, 1, 1, 9.2, 0.0, 0.0, 1.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.5, 0.0, 0.5, 0.0, 0.5, 3.5, 0.0, 0.0, 0.0
555, Dmytro Skapintsev , NYK, 25, 2, 0, 2, 1.1, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
555, Jalen Crutcher , NOP, 24, 1, 1, 0, 2.7, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
