IND, PLAYER, TEAM, AGE, GP, W, L, MIN, PTS, FGM, FGA, FG%, 3PM, 3PA, 3P%, FTM, FTA, FT%, OREB, DREB, REB, AST, TOV, STL, BLK, PF, FP, DD2, TD3, plus_minus
321, Gary Payton II , GSW, 31, 43, 26, 17, 15.5, 5.4, 2.3, 4.1, 56.5, 0.4, 1.2, 34.6, 0.3, 0.5, 61.9, 1.1, 1.5, 2.6, 1.1, 0.6, 0.9, 0.4, 1.7, 13.4, 0.0, 0.0, 1.9
322, Monte Morris , MIN, 28, 29, 19, 10, 15.1, 5.3, 2.0, 4.9, 41.8, 0.8, 2.2, 38.1, 0.4, 0.7, 68.4, 0.2, 1.5, 1.7, 2.2, 0.2, 0.7, 0.2, 0.4, 13.2, 0.0, 0.0, 2.7
323, Zavier Simpson , MEM, 27, 3, 1, 2, 23.9, 5.3, 1.7, 7.3, 22.7, 1.0, 2.7, 37.5, 1.0, 1.3, 75.0, 1.0, 1.3, 2.3, 3.7, 2.0, 1.7, 1.0, 1.3, 19.6, 0.0, 0.0, 4.0
324, Xavier Tillman , BOS, 25, 50, 28, 22, 18.6, 5.3, 2.3, 5.3, 42.8, 0.3, 1.5, 22.7, 0.4, 1.0, 44.9, 1.4, 2.8, 4.1, 1.5, 0.6, 1.0, 0.8, 1.4, 17.2, 2.0, 0.0, -0.9
325, Stanley Umude , DET, 24, 24, 4, 20, 12.8, 5.3, 1.5, 3.5, 44.0, 1.0, 2.2, 45.3, 1.2, 1.3, 90.6, 0.3, 1.8, 2.1, 0.5, 0.6, 0.3, 0.3, 1.7, 9.8, 0.0, 0.0, -3.1
326, Malachi Flynn , DET, 25, 65, 27, 38, 12.4, 5.3, 1.8, 4.5, 41.4, 0.8, 2.4, 33.8, 0.8, 1.0, 74.2, 0.3, 1.4, 1.7, 1.8, 0.9, 0.5, 0.1, 1.0, 11.0, 0.0, 0.0, -2.2
327, Goga Bitadze , ORL, 24, 58, 33, 25, 16.1, 5.2, 2.1, 3.5, 61.1, 0.0, 0.2, 15.4, 0.9, 1.4, 65.9, 1.9, 2.9, 4.8, 1.3, 0.7, 0.5, 1.2, 1.8, 17.5, 5.0, 0.0, 0.7
328, Mason Plumlee , LAC, 34, 42, 28, 14, 14.1, 5.2, 1.9, 3.1, 61.2, 0.0, 0.0, 0.0, 1.4, 2.1, 69.0, 1.3, 3.6, 4.9, 1.1, 0.7, 0.3, 0.4, 1.5, 13.9, 1.0, 0.0, 1.1
329, Jarred Vanderbilt , LAL, 25, 29, 14, 15, 20.0, 5.2, 2.0, 3.9, 51.8, 0.3, 0.9, 29.6, 0.8, 1.2, 66.7, 1.4, 3.3, 4.8, 1.2, 1.0, 1.2, 0.2, 1.5, 16.0, 0.0, 0.0, 1.5
330, Drew Eubanks , PHX, 27, 72, 40, 32, 15.7, 5.2, 2.1, 3.4, 61.2, 0.0, 0.0, 100, 1.0, 1.3, 77.4, 1.4, 2.9, 4.3, 0.8, 0.8, 0.4, 0.8, 1.6, 14.4, 0.0, 0.0, -1.2
331, Seth Curry , CHA, 33, 44, 25, 19, 14.0, 5.1, 1.8, 4.6, 39.2, 0.9, 2.5, 35.2, 0.6, 0.7, 90.3, 0.4, 1.1, 1.5, 1.0, 0.5, 0.5, 0.1, 0.9, 9.9, 0.0, 0.0, 1.4
332, Davion Mitchell , SAC, 25, 68, 40, 28, 14.9, 5.1, 2.0, 4.2, 46.3, 0.8, 2.1, 35.9, 0.4, 0.6, 71.8, 0.3, 1.0, 1.3, 1.8, 0.6, 0.3, 0.0, 1.2, 9.6, 0.0, 0.0, -1.1
333, Luke Kornet , BOS, 28, 59, 46, 13, 15.3, 5.1, 2.2, 3.1, 69.4, 0.0, 0.0, 0.0, 0.7, 0.8, 89.8, 1.9, 2.2, 4.1, 1.0, 0.3, 0.4, 1.0, 1.2, 15.1, 0.0, 0.0, 2.8
334, D.J. Wilson , PHI, 28, 2, 1, 1, 7.7, 5.0, 2.0, 3.0, 66.7, 1.0, 1.0, 100, 0.0, 0.0, 0.0, 0.5, 0.5, 1.0, 1.0, 0.0, 0.0, 1.0, 0.5, 10.7, 0.0, 0.0, 1.0
334, Kobi Simmons , TOR, 26, 4, 0, 4, 16.9, 5.0, 2.3, 5.3, 42.9, 0.5, 2.0, 25.0, 0.0, 0.0, 0.0, 0.3, 1.5, 1.8, 3.0, 0.3, 1.5, 0.5, 1.3, 17.4, 0.0, 0.0, -7.8
336, Richaun Holmes , WAS, 30, 40, 13, 27, 13.9, 5.0, 2.1, 3.7, 55.8, 0.0, 0.1, 33.3, 0.9, 1.2, 72.3, 1.8, 2.8, 4.6, 0.6, 0.6, 0.3, 0.5, 1.9, 13.0, 4.0, 0.0, -2.3
337, Isaiah Livers , DET, 25, 23, 1, 22, 20.4, 5.0, 1.7, 5.0, 34.5, 1.0, 3.3, 28.6, 0.5, 0.8, 66.7, 0.7, 1.4, 2.1, 1.1, 0.7, 0.6, 0.2, 1.9, 10.7, 0.0, 0.0, -8.7
