PLAYER, TEAM, AGE, HEIGHT, WEIGHT, COLLEGE, COUNTRY, DRAFT_YEAR, DRAFT_ROUND, DRAFT_NUMBER, GP, PTS, REB, AST, NETRTG, OREB%, DREB%, USG%, TS%, AST%
33, Kyle Kuzma , WAS, 28, 67, 13, 54, 32.3, 22.4, 8.7, 18.7, 46.7, 2.2, 6.5, 33.6, 2.7, 3.5, 78.1, 0.9, 5.6, 6.5, 4.2, 2.7, 0.5, 0.7, 2.2, 37.5, 12.0, 0.0, -8.1
34, Dejounte Murray , ATL, 27, 67, 29, 38, 35.3, 22.3, 8.5, 18.3, 46.5, 2.5, 6.8, 36.8, 2.8, 3.5, 81.2, 0.7, 4.5, 5.3, 6.1, 2.5, 1.4, 0.3, 1.7, 40.5, 15.0, 0.0, -1.8
35, Karl-Anthony Towns , MIN, 28, 60, 41, 19, 32.8, 22.1, 7.9, 15.5, 50.6, 2.2, 5.3, 42.3, 4.2, 4.8, 87.4, 1.5, 6.9, 8.4, 3.0, 2.8, 0.7, 0.7, 3.3, 38.0, 22.0, 0.0, 5.7
36, Cade Cunningham , DET, 22, 59, 8, 51, 33.5, 22.1, 8.3, 18.5, 44.7, 1.9, 5.4, 34.9, 3.7, 4.3, 86.6, 0.5, 3.8, 4.3, 7.6, 3.5, 0.9, 0.4, 2.5, 38.9, 14.0, 0.0, -6.2
37, Pascal Siakam , IND, 29, 70, 31, 39, 33.7, 21.8, 8.6, 16.0, 53.6, 1.1, 3.3, 33.6, 3.6, 5.0, 72.6, 1.7, 5.4, 7.0, 4.5, 1.8, 0.8, 0.3, 2.4, 38.7, 14.0, 1.0, 0.7
38, Cam Thomas , BKN, 22, 56, 18, 38, 30.6, 21.5, 7.7, 17.5, 44.2, 2.0, 5.7, 35.7, 4.0, 4.7, 84.4, 0.4, 2.8, 3.2, 2.8, 1.9, 0.7, 0.2, 2.1, 30.5, 0.0, 0.0, -3.1
39, Jimmy Butler , MIA, 34, 50, 26, 24, 34.1, 21.4, 6.8, 13.6, 50.1, 1.0, 2.4, 41.5, 6.8, 7.9, 85.6, 1.9, 3.5, 5.4, 4.8, 1.7, 1.4, 0.3, 1.2, 38.6, 5.0, 1.0, 3.1
40, Miles Bridges , CHA, 26, 59, 14, 45, 37.6, 21.3, 8.2, 17.9, 46.1, 2.3, 6.6, 35.4, 2.5, 3.1, 81.7, 1.1, 6.4, 7.5, 3.3, 2.1, 1.0, 0.5, 1.8, 37.7, 18.0, 0.0, -9.5
41, Alperen Sengun , HOU, 21, 63, 29, 34, 32.5, 21.1, 8.4, 15.6, 53.7, 0.5, 1.8, 29.7, 3.9, 5.6, 69.3, 2.9, 6.4, 9.3, 5.0, 2.6, 1.2, 0.7, 3.3, 43.0, 29.0, 2.0, 0.8
42, Jerami Grant , POR, 30, 54, 17, 37, 33.9, 21.0, 7.1, 15.7, 45.1, 2.1, 5.1, 40.2, 4.7, 5.8, 81.7, 0.7, 2.9, 3.5, 2.8, 2.1, 0.8, 0.6, 2.2, 31.7, 1.0, 0.0, -6.5
43, Brandon Ingram , NOP, 26, 63, 38, 25, 33.0, 20.9, 7.8, 16.0, 49.0, 1.3, 3.8, 35.6, 3.9, 4.9, 80.1, 0.7, 4.4, 5.1, 5.8, 2.6, 0.8, 0.6, 2.3, 37.4, 3.0, 1.0, 3.2
44, Jamal Murray , DEN, 27, 54, 40, 14, 32.1, 20.9, 7.9, 16.7, 47.5, 2.4, 5.6, 41.9, 2.7, 3.2, 85.5, 0.7, 3.4, 4.1, 6.7, 2.1, 1.0, 0.6, 1.8, 38.5, 11.0, 0.0, 4.5
45, Tyler Herro , MIA, 24, 36, 19, 17, 33.6, 20.8, 7.9, 18.0, 43.7, 3.3, 8.1, 39.9, 1.8, 2.2, 83.5, 0.5, 4.8, 5.3, 4.4, 2.1, 0.8, 0.1, 1.4, 34.3, 2.0, 0.0, -0.6
46, Victor Wembanyama , SAS, 20, 63, 14, 49, 29.0, 20.7, 7.5, 16.2, 46.6, 1.7, 5.2, 32.1, 4.0, 5.0, 79.9, 2.2, 8.1, 10.4, 3.5, 3.6, 1.3, 3.4, 2.2, 49.0, 38.0, 2.0, -2.2
47, Mikal Bridges , BKN, 27, 71, 26, 45, 35.2, 20.5, 7.2, 16.4, 43.9, 2.6, 7.2, 36.8, 3.5, 4.3, 81.0, 0.8, 3.9, 4.8, 3.7, 2.1, 1.0, 0.4, 1.5, 33.7, 3.0, 0.0, -2.2
48, Tyrese Haliburton , IND, 24, 59, 33, 26, 32.3, 20.4, 7.4, 15.5, 47.8, 2.8, 7.6, 36.1, 2.8, 3.3, 85.6, 0.5, 3.4, 3.9, 11.2, 2.3, 1.2, 0.7, 1.0, 45.1, 41.0, 1.0, 3.5
