IND, PLAYER, TEAM, AGE, GP, W, L, MIN, OFFRTG, DEFRTG, NETRTG, AST%, AST/TO, AST_RATIO, OREB%, DREB%, REB%, TO_RATIO, EFG%, TS%, USG%, PACE, PIE, POSS
126, Keyonte George , UTA, 20, 57, 24, 33, 25.6, 111.0, 117.9, -6.8, 25.1, 2.08, 25.0, 0.9, 9.8, 5.4, 12.0, 49.8, 54.5, 21.3, 101.56, 8.7, 3095
126, LeBron James , LAL, 39, 57, 31, 26, 35.1, 116.3, 113.8, 2.5, 35.0, 2.48, 25.5, 2.5, 16.8, 10.0, 10.3, 59.0, 62.0, 28.4, 101.58, 16.5, 4234
126, Paul George , LAC, 33, 57, 38, 19, 34.0, 121.7, 111.8, 9.8, 15.6, 1.76, 15.0, 1.7, 13.9, 8.1, 8.5, 55.4, 59.3, 26.2, 98.17, 12.0, 3966
126, Precious Achiuwa , NYK, 24, 57, 28, 29, 23.0, 113.2, 112.4, 0.8, 8.6, 1.18, 13.3, 10.9, 17.6, 14.1, 11.3, 52.4, 54.1, 16.4, 96.15, 9.5, 2628
126, Terance Mann , LAC, 27, 57, 38, 19, 25.3, 117.8, 115.2, 2.6, 9.1, 2.86, 18.8, 5.2, 8.4, 6.9, 6.6, 56.7, 59.2, 12.9, 97.84, 6.6, 2940
139, Aaron Nesmith , IND, 24, 56, 31, 25, 27.1, 119.8, 117.0, 2.8, 6.7, 1.53, 12.2, 3.2, 10.7, 7.0, 8.0, 62.6, 64.3, 16.1, 102.59, 7.4, 3238
139, Clint Capela , ATL, 29, 56, 26, 30, 25.3, 114.9, 117.0, -2.1, 5.7, 1.13, 9.1, 16.0, 22.4, 19.0, 8.0, 56.2, 58.6, 16.5, 102.65, 11.7, 3020
139, Dorian Finney-Smith , BKN, 30, 56, 23, 33, 28.4, 112.4, 112.6, -0.3, 7.7, 1.78, 15.1, 5.6, 10.5, 8.0, 8.5, 54.8, 55.7, 13.5, 98.49, 6.3, 3262
139, Jaden Hardy , DAL, 21, 56, 31, 25, 14.4, 109.2, 114.2, -5.0, 16.7, 2.12, 15.9, 1.8, 10.6, 6.1, 7.5, 49.5, 51.7, 23.4, 103.63, 8.3, 1745
139, Julian Champagnie , SAS, 22, 56, 11, 45, 17.0, 110.5, 116.0, -5.5, 9.7, 1.97, 17.9, 3.5, 12.0, 7.6, 9.1, 52.6, 56.2, 14.1, 103.41, 6.9, 2055
139, Kris Dunn , UTA, 29, 56, 25, 31, 18.4, 119.5, 117.4, 2.1, 25.5, 3.10, 39.4, 3.9, 10.7, 7.3, 12.7, 55.3, 56.2, 13.2, 103.38, 8.1, 2215
139, Luka Doncic , DAL, 25, 56, 33, 23, 37.6, 119.9, 116.8, 3.1, 43.2, 2.47, 23.7, 2.0, 21.5, 11.8, 9.6, 58.0, 62.5, 35.5, 101.34, 20.3, 4446
139, P.J. Washington , DAL, 25, 56, 16, 40, 29.8, 112.0, 119.4, -7.4, 9.5, 1.41, 13.1, 3.9, 13.9, 8.8, 9.3, 52.3, 54.4, 19.2, 100.87, 7.8, 3504
139, Victor Wembanyama , SAS, 20, 56, 13, 43, 28.7, 107.7, 112.2, -4.5, 19.4, 0.99, 13.7, 7.3, 27.2, 17.3, 13.9, 52.2, 56.9, 30.7, 103.99, 16.0, 3489
148, Alec Burks , NYK, 32, 55, 11, 44, 19.7, 108.0, 119.4, -11.3, 11.2, 1.83, 11.2, 1.8, 10.0, 5.8, 6.1, 49.1, 55.0, 23.2, 101.36, 8.9, 2293
148, Alex Caruso , CHI, 30, 55, 27, 28, 27.5, 110.3, 109.0, 1.3, 15.1, 2.22, 24.1, 3.2, 10.0, 6.6, 10.9, 58.1, 60.4, 14.5, 99.35, 8.6, 3125
148, Brandin Podziemski , GSW, 21, 55, 28, 27, 26.8, 118.4, 112.1, 6.3, 18.6, 3.13, 27.9, 5.6, 15.0, 10.3, 8.9, 52.4, 53.5, 15.4, 100.91, 9.5, 3111
148, David Roddy , PHX, 22, 55, 18, 37, 20.8, 104.2, 113.8, -9.6, 10.1, 1.38, 13.6, 4.2, 13.3, 8.6, 9.9, 46.2, 48.5, 17.7, 101.02, 6.6, 2411
148, De'Aaron Fox , SAC, 26, 55, 32, 23, 35.7, 117.6, 114.9, 2.7, 23.6, 2.11, 17.4, 2.4, 9.7, 5.9, 8.3, 53.7, 56.8, 30.3, 102.80, 12.3, 4207
148, Dillon Brooks , HOU, 28, 55, 25, 30, 31.3, 111.8, 112.9, -1.2, 7.5, 1.32, 11.4, 2.4, 8.3, 5.4, 8.6, 52.1, 55.6, 17.5, 99.86, 5.9, 3575
148, Isaac Okoro , CLE, 23, 55, 35, 20, 26.9, 113.6, 109.5, 4.1, 10.2, 2.62, 18.9, 3.8, 7.4, 5.6, 7.2, 59.4, 61.5, 13.8, 98.76, 7.5, 3022
148, Jaden McDaniels , MIN, 23, 55, 36, 19, 29.3, 114.8, 110.0, 4.7, 6.8, 1.18, 12.3, 2.9, 7.2, 5.1, 10.4, 56.7, 58.1, 15.4, 97.49, 5.6, 3263
148, Jaxson Hayes , LAL, 23, 55, 31, 24, 11.5, 109.5, 113.4, -3.9, 5.2, 0.86, 11.9, 8.0, 13.5, 11.0, 13.9, 70.1, 69.9, 12.0, 102.62, 7.6, 1348
148, Jordan Hawkins , NOP, 21, 55, 33, 22, 19.5, 113.5, 114.7, -1.1, 8.6, 1.71, 11.6, 2.5, 10.2, 6.3, 6.8, 51.2, 54.4, 19.1, 100.64, 7.1, 2266
148, Nic Claxton , BKN, 24, 55, 21, 34, 29.6, 108.1, 114.0, -5.8, 10.6, 1.67, 15.8, 8.4, 24.1, 16.0, 9.4, 62.9, 63.5, 15.8, 99.17, 13.2, 3350
148, Tyrese Maxey , PHI, 23, 55, 35, 20, 37.4, 119.5, 114.4, 5.2, 25.5, 3.67, 20.8, 1.5, 8.5, 5.0, 5.7, 52.4, 57.5, 27.0, 99.33, 12.8, 4263
160, Andrew Wiggins , GSW, 29, 54, 26, 28, 26.7, 115.2, 118.5, -3.3, 9.1, 1.45, 11.8, 5.4, 9.6, 7.5, 8.1, 50.6, 53.6, 19.8, 101.29, 7.2, 3045
160, Bam Adebayo , MIA, 26, 54, 30, 24, 34.6, 110.1, 110.5, -0.4, 19.3, 1.66, 16.6, 6.7, 23.6, 15.1, 10.0, 50.9, 56.3, 25.4, 97.97, 14.6, 3819
160, Dean Wade , CLE, 27, 54, 36, 18, 20.5, 111.9, 103.5, 8.3, 5.2, 2.15, 14.0, 3.3, 15.4, 9.4, 6.5, 58.4, 59.8, 10.1, 99.94, 7.3, 2300
160, Jae'Sean Tate , HOU, 28, 54, 23, 31, 16.9, 110.7, 105.6, 5.1, 8.5, 2.04, 19.2, 5.4, 13.1, 9.1, 9.4, 52.3, 54.0, 11.0, 101.56, 5.9, 1913
160, Josh Okogie , PHX, 25, 54, 33, 21, 17.1, 113.3, 110.9, 2.3, 9.1, 1.88, 18.3, 7.8, 8.1, 8.0, 9.8, 48.5, 54.9, 12.4, 100.94, 6.8, 1937
