IND, PLAYER, GP, W, L, MIN, EST._OFFRTG, EST._DEFRTG, EST._NETRTG, EST._AST_RATIO, EST._OREB%, EST._DREB%, EST._REB%, EST._TO_RATIO, EST._USG%, EST._PACE
62, Deni Avdija, 61, 11, 50, 29, 109.6, 116.7, -7.1, 21.4, 4.3, 21.4, 12.8, 11.7, 19.8, 105.99,
62, Myles Turner, 61, 34, 27, 27, 118.9, 115.5, 3.4, 7.5, 6.7, 22.5, 14.7, 9.1, 23.7, 104.18,
62, D'Angelo Russell, 61, 36, 25, 32, 115.2, 113.1, 2.0, 26.7, 1.4, 8.5, 5.1, 8.5, 23.0, 103.90,
62, Dejounte Murray, 61, 27, 34, 35, 115.1, 118.4, -3.3, 21.0, 2.1, 14.3, 7.9, 8.4, 25.3, 103.32,
62, Tim Hardaway Jr., 61, 35, 26, 29, 116.1, 116.5, -0.4, 9.6, 1.2, 12.1, 6.6, 5.4, 23.4, 103.04,
62, Kevin Huerter, 61, 35, 26, 25, 116.3, 115.1, 1.2, 20.5, 2.8, 13.8, 8.2, 6.5, 17.6, 101.98,
62, Aaron Holiday, 61, 28, 33, 17, 109.5, 107.5, 1.9, 21.9, 1.7, 9.0, 5.3, 9.0, 16.3, 101.98,
62, Royce O'Neale, 61, 26, 35, 26, 112.2, 110.0, 2.1, 26.4, 3.3, 17.1, 10.1, 8.7, 13.6, 101.88,
62, Kevon Looney, 61, 33, 28, 17, 114.6, 116.5, -1.9, 31.4, 13.2, 25.1, 19.1, 11.2, 11.0, 100.57,
62, Aaron Wiggins, 61, 44, 17, 15, 115.8, 109.0, 6.8, 14.9, 6.2, 11.4, 8.9, 10.3, 15.8, 100.48,
62, Jevon Carter, 61, 30, 31, 14, 108.5, 108.5, 0.0, 17.6, 0.9, 5.6, 3.1, 7.3, 17.5, 99.48,
73, Bilal Coulibaly, 60, 11, 49, 27, 106.5, 116.6, -10.1, 15.7, 3.3, 13.2, 8.1, 13.0, 14.0, 104.53,
73, Damian Lillard, 60, 42, 18, 35, 118.9, 110.4, 8.5, 22.8, 1.6, 11.4, 6.7, 8.5, 28.1, 104.49,
73, Keldon Johnson, 60, 14, 46, 30, 107.9, 116.7, -8.7, 15.8, 4.9, 15.1, 9.9, 8.0, 22.3, 104.46,
73, Isaiah Joe, 60, 42, 18, 18, 118.6, 108.3, 10.3, 13.5, 2.5, 11.2, 6.9, 7.4, 16.2, 103.42,
73, Klay Thompson, 60, 30, 30, 30, 114.3, 116.8, -2.5, 11.6, 1.6, 10.9, 6.3, 8.0, 23.5, 103.02,
73, John Collins, 60, 26, 34, 28, 113.0, 120.5, -7.6, 8.1, 8.9, 25.1, 16.8, 10.0, 19.8, 102.64,
73, Jusuf Nurkic, 60, 37, 23, 27, 119.2, 110.2, 9.0, 23.4, 12.6, 31.1, 22.4, 14.1, 19.6, 102.02,
73, Scottie Barnes, 60, 22, 38, 35, 111.9, 114.6, -2.7, 23.0, 7.2, 19.0, 12.9, 10.4, 24.7, 101.98,
73, Jeff Green, 60, 27, 33, 16, 108.5, 111.0, -2.5, 13.3, 3.9, 10.3, 7.1, 10.2, 15.0, 101.40,
73, Matisse Thybulle, 60, 17, 43, 23, 106.7, 113.5, -6.9, 18.7, 2.3, 8.4, 5.2, 8.6, 10.7, 101.06,
73, Grant Williams, 60, 30, 30, 27, 111.8, 113.8, -1.9, 16.9, 4.4, 11.9, 8.1, 11.7, 14.8, 101.01,
73, Dario Saric, 60, 32, 28, 18, 112.7, 114.6, -1.9, 22.3, 7.3, 21.4, 14.3, 11.5, 19.4, 100.88,
73, Max Strus, 60, 39, 21, 32, 113.9, 106.6, 7.3, 23.1, 3.0, 12.8, 8.0, 9.2, 17.0, 100.81,
73, Toumani Camara, 60, 18, 42, 24, 105.0, 110.6, -5.6, 11.9, 8.4, 14.7, 11.3, 13.0, 13.9, 100.69,
73, Cameron Payne, 60, 35, 25, 16, 114.8, 114.5, 0.3, 26.7, 1.3, 7.9, 4.6, 7.9, 18.5, 100.62,
73, Spencer Dinwiddie, 60, 27, 33, 29, 115.3, 114.7, 0.6, 31.5, 1.6, 8.9, 5.2, 7.2, 17.3, 100.42,
73, Jayson Tatum, 60, 47, 13, 36, 120.0, 108.3, 11.6, 16.5, 2.8, 21.5, 12.7, 8.6, 30.1, 100.42,
73, Patrick Beverley, 60, 36, 24, 19, 108.8, 110.2, -1.4, 29.9, 3.7, 14.2, 8.9, 10.4, 15.1, 99.65,
73, Karl-Anthony Towns, 60, 41, 19, 33, 115.1, 107.5, 7.6, 12.7, 5.7, 22.9, 14.8, 12.0, 27.5, 99.45,
73, Mike Conley, 60, 42, 18, 29, 112.2, 105.8, 6.4, 38.6, 1.9, 9.3, 5.8, 7.3, 15.0, 98.79,
93, Bennedict Mathurin, 59, 33, 26, 26, 114.0, 116.5, -2.5, 12.2, 4.3, 12.8, 8.5, 9.9, 23.2, 104.90,
93, Malaki Branham, 59, 12, 47, 21, 107.0, 118.5, -11.5, 18.8, 1.8, 9.0, 5.3, 10.0, 19.5, 104.50,
