IND, PLAYER, TEAM, AGE, GP, W, L, MIN, PTS_OFF_TO, 2ND_PTS, FBPS, PITP, OPP_PTS_OFF_TO, OPP_2ND_PTS, OPP_FBPS, OPP_PITP, BLK, BLKA, PF, PFD
381, Jared Butler , WAS, 23, 26, 2, 24, 9.5, 0.7, 0.2, 0.9, 2.4, 3.7, 2.5, 2.5, 9.3, 0.1, 0.2, 0.9, 0.8
381, Thaddeus Young , PHX, 35, 26, 6, 20, 14.7, 0.9, 1.1, 0.5, 4.2, 4.1, 5.0, 4.2, 17.4, 0.1, 0.3, 1.6, 0.5
385, Nathan Mensah , CHA, 25, 25, 3, 22, 12.3, 0.2, 0.4, 0.0, 0.9, 4.3, 3.6, 4.2, 11.8, 0.6, 0.1, 2.6, 0.8
385, Neemias Queta , BOS, 24, 25, 21, 4, 11.7, 0.4, 2.1, 0.1, 3.8, 2.6, 3.0, 3.2, 9.7, 0.6, 0.4, 1.8, 0.8
385, Patrick Baldwin Jr. , WAS, 21, 25, 3, 22, 9.4, 0.4, 0.4, 0.2, 0.7, 3.3, 2.6, 3.4, 9.1, 0.2, 0.1, 1.0, 0.5
385, Taylor Hendricks , UTA, 20, 25, 11, 14, 18.1, 0.4, 1.5, 0.5, 2.5, 7.0, 5.0, 6.8, 18.4, 0.7, 0.3, 1.8, 0.4
385, Zach LaVine , CHI, 29, 25, 10, 15, 34.9, 3.1, 1.5, 3.4, 6.5, 9.8, 11.2, 9.8, 30.7, 0.3, 0.8, 2.3, 2.8
390, Derrick Rose , MEM, 35, 24, 6, 18, 16.6, 1.3, 0.5, 0.6, 4.0, 5.5, 5.8, 3.5, 16.3, 0.1, 0.6, 0.9, 1.3
390, Jontay Porter , TOR, 24, 24, 6, 18, 14.0, 0.5, 0.9, 0.3, 1.5, 4.9, 3.2, 3.8, 16.9, 0.8, 0.1, 1.5, 0.4
390, Josh Minott , MIN, 21, 24, 18, 6, 2.8, 0.2, 0.2, 0.3, 0.8, 0.6, 0.8, 1.0, 3.2, 0.2, 0.1, 0.3, 0.3
390, Justin Minaya , POR, 24, 24, 2, 22, 8.0, 0.4, 0.1, 0.4, 0.3, 3.5, 2.4, 2.2, 7.1, 0.2, 0.1, 0.5, 0.3
390, Maxwell Lewis , LAL, 21, 24, 11, 13, 3.2, 0.1, 0.0, 0.0, 0.2, 1.8, 1.3, 1.1, 3.5, 0.0, 0.0, 0.2, 0.0
390, Patty Mills , MIA, 35, 24, 11, 13, 11.3, 0.5, 0.1, 0.1, 0.4, 3.8, 3.0, 2.8, 11.8, 0.0, 0.1, 0.9, 0.4
390, Rayan Rupert , POR, 19, 24, 5, 19, 9.3, 0.5, 0.3, 0.3, 0.9, 4.3, 2.5, 3.8, 9.3, 0.0, 0.3, 0.8, 0.4
397, Brandon Boston Jr. , LAC, 22, 23, 13, 10, 7.2, 0.7, 0.7, 0.3, 1.7, 3.3, 2.9, 2.8, 9.4, 0.2, 0.2, 0.9, 0.6
397, Isaiah Livers , WAS, 25, 23, 1, 22, 20.4, 0.8, 0.3, 0.8, 1.3, 8.1, 6.8, 5.8, 24.5, 0.2, 0.3, 1.9, 0.7
